account_id,account_type,account_status,opened_date,closed_date
A000133,TRANSACTION,ACTIVE,2021-05-17,
A000134,SAVINGS,ACTIVE,2023-12-21,
A000135,TRANSACTION,ACTIVE,2025-10-09,
A000136,TRANSACTION,ACTIVE,2023-07-22,
A000137,SAVINGS,ACTIVE,2023-11-19,
A000138,SAVINGS,ACTIVE,2022-07-20,
A000139,TRANSACTION,ACTIVE,2024-12-12,
A000140,TRANSACTION,ACTIVE,2024-04-17,
A000141,SAVINGS,ACTIVE,2020-05-17,
A000142,SAVINGS,ACTIVE,2024-09-18,
A000143,SAVINGS,ACTIVE,2018-11-06,
A000144,TRANSACTION,CLOSED,2018-07-16,2019-10-17
A000145,TRANSACTION,ACTIVE,2023-09-11,
A000146,TRANSACTION,ACTIVE,2019-12-22,
A000147,SAVINGS,ACTIVE,2018-01-09,
A000148,TRANSACTION,ACTIVE,2025-08-07,
A000149,TRANSACTION,ACTIVE,2019-03-20,
A000150,SAVINGS,ACTIVE,2024-05-22,
A000151,SAVINGS,ACTIVE,2022-01-17,
A000152,SAVINGS,ACTIVE,2023-09-20,
A000153,TRANSACTION,CLOSED,2020-06-20,2023-01-24
A000154,TRANSACTION,ACTIVE,2020-06-26,
A000155,TRANSACTION,ACTIVE,2020-04-15,
A000156,TRANSACTION,ACTIVE,2023-07-07,
A000157,TRANSACTION,ACTIVE,2019-04-25,
A000158,TRANSACTION,ACTIVE,2019-09-01,
A000159,TRANSACTION,ACTIVE,2024-06-18,
A000160,TRANSACTION,ACTIVE,2024-06-11,
A000161,TRANSACTION,ACTIVE,2018-08-01,
A000162,TRANSACTION,DORMANT,2023-07-09,
A000163,SAVINGS,ACTIVE,2022-07-09,
A000164,SAVINGS,ACTIVE,2022-05-24,
A000165,SAVINGS,DORMANT,2022-02-12,
A000166,TRANSACTION,ACTIVE,2025-07-21,
A000167,TRANSACTION,DORMANT,2020-08-24,
A000168,SAVINGS,ACTIVE,2026-01-20,
A000169,TRANSACTION,ACTIVE,2020-05-04,
A000170,TRANSACTION,ACTIVE,2025-04-16,
A000171,TRANSACTION,ACTIVE,2021-03-31,
A000172,SAVINGS,CLOSED,2024-09-18,2025-10-23
A000173,TRANSACTION,ACTIVE,2020-01-25,
A000174,TRANSACTION,DORMANT,2023-04-08,
A000175,TRANSACTION,ACTIVE,2024-02-17,
A000176,TRANSACTION,ACTIVE,2023-09-29,
A000177,SAVINGS,ACTIVE,2021-11-10,
A000178,TRANSACTION,ACTIVE,2026-08-09,
A000179,TRANSACTION,ACTIVE,2025-11-17,
A000180,TRANSACTION,ACTIVE,2023-03-05,
A000181,TRANSACTION,ACTIVE,2022-09-22,
A000182,SAVINGS,ACTIVE,2023-04-17,
A000183,TRANSACTION,ACTIVE,2022-03-22,
A000184,TRANSACTION,CLOSED,2023-03-27,2023-07-01
A000185,TRANSACTION,ACTIVE,2024-08-14,
A000186,TRANSACTION,ACTIVE,2025-10-29,
A000187,TRANSACTION,ACTIVE,2026-04-16,
A000188,SAVINGS,CLOSED,2024-08-04,2026-06-11
A000189,TRANSACTION,ACTIVE,2023-09-29,
A000190,SAVINGS,ACTIVE,2025-03-17,
A000191,TRANSACTION,ACTIVE,2022-08-12,
A000192,SAVINGS,ACTIVE,2018-09-14,
A000193,TRANSACTION,ACTIVE,2019-01-31,
A000194,TRANSACTION,ACTIVE,2022-06-26,
A000195,SAVINGS,DORMANT,2024-07-03,
A000196,SAVINGS,CLOSED,2020-06-19,2022-02-28
A000197,TRANSACTION,DORMANT,2023-12-18,
A000198,SAVINGS,ACTIVE,2025-04-29,
A000199,TRANSACTION,ACTIVE,2026-06-21,
A000200,SAVINGS,DORMANT,2021-11-20,
A000201,TRANSACTION,ACTIVE,2023-05-09,
A000202,TRANSACTION,ACTIVE,2023-09-21,
A000203,TRANSACTION,ACTIVE,2020-08-10,
A000204,SAVINGS,ACTIVE,2022-08-10,
A000205,SAVINGS,ACTIVE,2019-02-28,
A000206,SAVINGS,DORMANT,2025-01-06,
A000207,TRANSACTION,ACTIVE,2025-10-31,
A000208,SAVINGS,ACTIVE,2022-07-18,
A000209,TRANSACTION,ACTIVE,2022-08-12,
A000210,TRANSACTION,DORMANT,2023-03-17,
A000211,TRANSACTION,ACTIVE,2018-11-11,
A000212,TRANSACTION,ACTIVE,2021-04-28,
A000213,TRANSACTION,ACTIVE,2022-05-19,
A000214,SAVINGS,ACTIVE,2025-12-01,
A000215,SAVINGS,ACTIVE,2021-04-06,
A000216,SAVINGS,ACTIVE,2020-05-12,
A000217,SAVINGS,ACTIVE,2021-04-07,
A000218,TRANSACTION,ACTIVE,2019-01-23,
A000219,TRANSACTION,ACTIVE,2018-05-15,
A000220,SAVINGS,ACTIVE,2024-12-01,
A000221,TRANSACTION,ACTIVE,2023-08-31,
A000222,TRANSACTION,ACTIVE,2021-12-31,
A000223,TRANSACTION,ACTIVE,2026-01-10,
A000224,SAVINGS,DORMANT,2024-07-29,
A000225,TRANSACTION,ACTIVE,2020-01-25,
A000226,TRANSACTION,ACTIVE,2025-01-23,
A000227,TRANSACTION,ACTIVE,2018-11-04,
A000228,TRANSACTION,ACTIVE,2023-11-22,
A000229,SAVINGS,DORMANT,2021-09-25,
A000230,SAVINGS,ACTIVE,2025-06-15,
A000231,TRANSACTION,ACTIVE,2018-04-05,
A000232,TRANSACTION,ACTIVE,2022-04-02,
A000233,TRANSACTION,ACTIVE,2018-12-06,
A000234,SAVINGS,DORMANT,2023-08-06,
A000235,TRANSACTION,ACTIVE,2020-09-13,
A000236,TRANSACTION,DORMANT,2018-04-30,
A000237,TRANSACTION,ACTIVE,2020-05-06,
A000238,TRANSACTION,ACTIVE,2020-04-19,
A000239,TRANSACTION,ACTIVE,2023-03-13,
A000240,SAVINGS,ACTIVE,2024-09-22,
A000241,TRANSACTION,ACTIVE,2022-03-26,
A000242,TRANSACTION,ACTIVE,2026-06-13,
A000243,SAVINGS,ACTIVE,2019-02-02,
A000244,SAVINGS,ACTIVE,2025-05-27,
A000245,TRANSACTION,DORMANT,2026-06-24,
A000246,SAVINGS,ACTIVE,2020-10-12,
A000247,TRANSACTION,ACTIVE,2021-04-02,
A000248,SAVINGS,ACTIVE,2019-06-28,
A000249,TRANSACTION,ACTIVE,2023-05-28,
A000250,SAVINGS,ACTIVE,2024-03-07,
A000251,SAVINGS,ACTIVE,2022-10-05,
A000252,TRANSACTION,ACTIVE,2026-03-06,
A000253,TRANSACTION,ACTIVE,2022-06-26,
A000254,TRANSACTION,ACTIVE,2020-09-08,
A000255,TRANSACTION,DORMANT,2019-11-17,
A000256,SAVINGS,ACTIVE,2025-05-19,
A000257,SAVINGS,ACTIVE,2023-02-06,
A000258,SAVINGS,ACTIVE,2024-05-05,
A000259,SAVINGS,ACTIVE,2023-08-15,
A000260,SAVINGS,ACTIVE,2025-07-03,
A000261,SAVINGS,ACTIVE,2018-02-27,
A000262,TRANSACTION,ACTIVE,2023-09-25,
A000263,TRANSACTION,ACTIVE,2023-10-12,
A000264,SAVINGS,ACTIVE,2024-06-27,
A000265,SAVINGS,DORMANT,2022-10-12,
A000266,TRANSACTION,ACTIVE,2026-07-28,
A000267,SAVINGS,ACTIVE,2024-06-19,
A000268,TRANSACTION,ACTIVE,2023-11-17,
A000269,SAVINGS,ACTIVE,2025-01-09,
A000270,TRANSACTION,ACTIVE,2023-03-14,
A000271,TRANSACTION,ACTIVE,2018-04-29,
A000272,TRANSACTION,ACTIVE,2026-02-03,
A000273,SAVINGS,ACTIVE,2023-10-03,
A000274,TRANSACTION,ACTIVE,2019-04-04,
A000275,TRANSACTION,ACTIVE,2026-07-07,
A000276,TRANSACTION,ACTIVE,2020-01-13,
A000277,TRANSACTION,ACTIVE,2025-11-22,
A000278,TRANSACTION,ACTIVE,2020-08-29,
A000279,TRANSACTION,ACTIVE,2023-04-17,
A000280,TRANSACTION,ACTIVE,2021-07-11,
A000281,TRANSACTION,ACTIVE,2021-05-13,
A000282,TRANSACTION,ACTIVE,2023-06-08,
A000283,SAVINGS,DORMANT,2019-11-02,
A000284,TRANSACTION,ACTIVE,2026-02-05,
A000285,TRANSACTION,ACTIVE,2024-12-20,
A000286,TRANSACTION,ACTIVE,2021-05-16,
A000287,TRANSACTION,ACTIVE,2023-02-03,
A000288,TRANSACTION,ACTIVE,2018-03-09,
A000289,SAVINGS,ACTIVE,2021-08-06,
A000290,TRANSACTION,ACTIVE,2025-10-29,
A000291,TRANSACTION,ACTIVE,2019-02-26,
A000292,SAVINGS,ACTIVE,2024-03-24,
A000293,TRANSACTION,ACTIVE,2020-07-22,
A000294,TRANSACTION,ACTIVE,2023-12-02,
A000295,TRANSACTION,ACTIVE,2018-12-16,
A000296,TRANSACTION,ACTIVE,2023-02-07,
A000297,SAVINGS,CLOSED,2018-05-24,2025-05-08
A000298,TRANSACTION,ACTIVE,2025-12-02,
A000299,TRANSACTION,ACTIVE,2026-07-01,
A000300,TRANSACTION,ACTIVE,2024-09-14,
A000301,TRANSACTION,ACTIVE,2025-10-21,
A000302,TRANSACTION,ACTIVE,2023-02-21,
A000303,SAVINGS,ACTIVE,2018-07-18,
A000304,TRANSACTION,ACTIVE,2020-02-06,
A000305,TRANSACTION,ACTIVE,2024-03-11,
A000306,SAVINGS,ACTIVE,2021-07-27,
A000307,TRANSACTION,ACTIVE,2018-02-21,
A000308,SAVINGS,DORMANT,2021-03-30,
A000309,TRANSACTION,ACTIVE,2019-11-08,
A000310,SAVINGS,ACTIVE,2022-08-20,
A000311,TRANSACTION,ACTIVE,2025-05-07,
A000312,TRANSACTION,ACTIVE,2023-11-05,
A000313,TRANSACTION,ACTIVE,2024-10-05,
A000314,SAVINGS,ACTIVE,2021-03-10,
A000315,SAVINGS,ACTIVE,2024-06-12,
A000316,SAVINGS,ACTIVE,2025-02-10,
A000317,TRANSACTION,ACTIVE,2024-12-27,
A000318,TRANSACTION,ACTIVE,2020-07-27,
A000319,TRANSACTION,ACTIVE,2021-11-17,
A000320,TRANSACTION,ACTIVE,2024-12-07,
A000321,SAVINGS,DORMANT,2020-10-20,
A000322,SAVINGS,ACTIVE,2025-12-14,
A000323,TRANSACTION,ACTIVE,2024-03-11,
A000324,TRANSACTION,ACTIVE,2023-08-04,
A000325,TRANSACTION,ACTIVE,2021-12-25,
A000326,TRANSACTION,ACTIVE,2025-11-28,
A000327,TRANSACTION,ACTIVE,2022-10-30,
A000328,TRANSACTION,ACTIVE,2023-03-30,
A000329,TRANSACTION,ACTIVE,2023-02-06,
A000330,SAVINGS,DORMANT,2025-05-25,
A000331,TRANSACTION,ACTIVE,2026-06-09,
A000332,TRANSACTION,ACTIVE,2020-08-26,
A000333,SAVINGS,DORMANT,2021-06-21,
A000334,TRANSACTION,ACTIVE,2022-12-08,
A000335,TRANSACTION,ACTIVE,2019-01-29,
A000336,TRANSACTION,ACTIVE,2022-05-31,
A000337,TRANSACTION,ACTIVE,2020-03-15,
A000338,TRANSACTION,DORMANT,2022-09-26,
A000339,TRANSACTION,ACTIVE,2021-05-08,
A000340,TRANSACTION,ACTIVE,2020-08-15,
A000341,SAVINGS,ACTIVE,2020-07-30,
A000342,TRANSACTION,DORMANT,2018-05-13,
A000343,TRANSACTION,ACTIVE,2018-05-06,
A000344,TRANSACTION,ACTIVE,2024-12-25,
A000345,TRANSACTION,ACTIVE,2025-05-16,
A000346,TRANSACTION,ACTIVE,2023-11-21,
A000347,SAVINGS,DORMANT,2024-12-02,
A000348,SAVINGS,CLOSED,2023-08-11,2026-02-24
A000349,TRANSACTION,ACTIVE,2018-09-20,
A000350,SAVINGS,ACTIVE,2024-03-10,
A000351,SAVINGS,ACTIVE,2025-05-12,
A000352,SAVINGS,ACTIVE,2021-04-06,
A000353,TRANSACTION,ACTIVE,2022-07-19,
A000354,SAVINGS,ACTIVE,2025-12-23,
A000355,SAVINGS,ACTIVE,2025-11-29,
A000356,TRANSACTION,ACTIVE,2024-11-23,
A000357,TRANSACTION,ACTIVE,2023-07-13,
A000358,TRANSACTION,CLOSED,2019-04-03,2020-06-13
A000359,TRANSACTION,ACTIVE,2022-06-21,
A000360,TRANSACTION,DORMANT,2018-12-04,
A000361,TRANSACTION,ACTIVE,2020-03-27,
A000362,TRANSACTION,ACTIVE,2023-10-09,
A000363,SAVINGS,ACTIVE,2022-11-10,
A000364,SAVINGS,ACTIVE,2021-01-02,
A000365,SAVINGS,ACTIVE,2023-10-19,
A000366,TRANSACTION,ACTIVE,2020-10-01,
A000367,SAVINGS,ACTIVE,2019-08-22,
A000368,TRANSACTION,ACTIVE,2023-02-21,
A000369,TRANSACTION,ACTIVE,2023-03-11,
A000370,TRANSACTION,CLOSED,2024-04-08,2025-05-11
A000371,TRANSACTION,DORMANT,2021-08-05,
A000372,TRANSACTION,ACTIVE,2021-04-02,
A000373,SAVINGS,ACTIVE,2018-07-09,
A000374,TRANSACTION,ACTIVE,2021-04-07,
A000375,TRANSACTION,ACTIVE,2019-04-22,
A000376,TRANSACTION,ACTIVE,2022-01-13,
A000377,TRANSACTION,CLOSED,2024-01-08,2026-04-13
A000378,TRANSACTION,ACTIVE,2021-12-18,
A000379,SAVINGS,ACTIVE,2024-05-04,
A000380,TRANSACTION,ACTIVE,2021-02-27,
A000381,TRANSACTION,ACTIVE,2024-02-27,
A000382,TRANSACTION,ACTIVE,2021-12-06,
A000383,SAVINGS,ACTIVE,2022-03-08,
A000384,SAVINGS,ACTIVE,2023-03-24,
A000385,TRANSACTION,ACTIVE,2021-03-28,
A000386,SAVINGS,ACTIVE,2018-11-20,
A000387,TRANSACTION,ACTIVE,2024-09-11,
A000388,TRANSACTION,ACTIVE,2019-05-20,
A000389,TRANSACTION,ACTIVE,2022-10-19,
A000390,SAVINGS,DORMANT,2024-08-01,
A000391,TRANSACTION,ACTIVE,2020-08-11,
A000392,SAVINGS,ACTIVE,2025-01-25,
A000393,TRANSACTION,ACTIVE,2022-06-30,
A000394,TRANSACTION,ACTIVE,2022-11-25,
A000395,TRANSACTION,DORMANT,2023-06-23,
A000396,SAVINGS,ACTIVE,2021-09-08,
A000397,SAVINGS,ACTIVE,2020-10-02,
A000398,SAVINGS,ACTIVE,2020-03-18,
A000399,TRANSACTION,DORMANT,2023-05-09,
A000400,TRANSACTION,CLOSED,2026-06-12,2026-08-22
A000401,SAVINGS,DORMANT,2018-04-09,
A000402,TRANSACTION,CLOSED,2023-03-21,2023-09-25
A000403,TRANSACTION,DORMANT,2019-12-16,
A000404,SAVINGS,DORMANT,2023-09-08,
A000405,TRANSACTION,ACTIVE,2024-11-06,
A000406,TRANSACTION,ACTIVE,2021-07-23,
A000407,SAVINGS,ACTIVE,2019-04-14,
A000408,TRANSACTION,DORMANT,2024-11-15,
A000409,TRANSACTION,ACTIVE,2021-11-10,
A000410,TRANSACTION,ACTIVE,2025-09-12,
A000411,TRANSACTION,ACTIVE,2023-12-10,
A000412,SAVINGS,ACTIVE,2024-02-27,
A000413,SAVINGS,CLOSED,2022-05-06,2022-06-29
A000414,TRANSACTION,CLOSED,2023-08-23,2023-12-30
A000415,TRANSACTION,ACTIVE,2019-10-29,
A000416,TRANSACTION,ACTIVE,2019-01-08,
A000417,TRANSACTION,ACTIVE,2022-04-21,
A000418,TRANSACTION,ACTIVE,2024-12-14,
A000419,SAVINGS,ACTIVE,2020-11-09,
A000420,SAVINGS,ACTIVE,2018-01-22,
A000421,TRANSACTION,ACTIVE,2019-09-12,
A000422,TRANSACTION,CLOSED,2026-01-24,2026-05-24
A000423,TRANSACTION,ACTIVE,2020-09-29,
A000424,SAVINGS,ACTIVE,2018-08-04,
A000425,TRANSACTION,DORMANT,2021-03-18,
A000426,SAVINGS,DORMANT,2024-10-03,
A000427,TRANSACTION,ACTIVE,2025-09-29,
A000428,TRANSACTION,DORMANT,2024-05-22,
A000429,SAVINGS,ACTIVE,2019-01-15,
A000430,TRANSACTION,ACTIVE,2018-04-26,
A000431,TRANSACTION,ACTIVE,2023-12-12,
A000432,SAVINGS,CLOSED,2022-07-15,2024-05-29
A000433,SAVINGS,ACTIVE,2019-12-05,
A000434,TRANSACTION,ACTIVE,2020-10-10,
A000435,TRANSACTION,ACTIVE,2020-02-04,
A000436,TRANSACTION,ACTIVE,2022-07-28,
A000437,TRANSACTION,ACTIVE,2023-03-18,
A000438,SAVINGS,DORMANT,2023-10-05,
A000439,SAVINGS,ACTIVE,2026-08-08,
A000440,SAVINGS,DORMANT,2021-03-25,
A000441,TRANSACTION,ACTIVE,2019-02-01,
A000442,TRANSACTION,ACTIVE,2021-11-17,
A000443,TRANSACTION,ACTIVE,2026-07-26,
A000444,TRANSACTION,ACTIVE,2019-07-13,
A000445,SAVINGS,ACTIVE,2025-02-17,
A000446,TRANSACTION,ACTIVE,2020-12-01,
A000447,TRANSACTION,ACTIVE,2021-02-06,
A000448,TRANSACTION,ACTIVE,2018-10-13,
A000449,TRANSACTION,DORMANT,2018-02-03,
A000450,TRANSACTION,ACTIVE,2025-03-26,
A000451,TRANSACTION,ACTIVE,2024-02-11,
A000452,TRANSACTION,DORMANT,2019-09-03,
A000453,TRANSACTION,ACTIVE,2024-07-03,
A000454,TRANSACTION,ACTIVE,2024-05-15,
A000455,SAVINGS,ACTIVE,2020-05-09,
A000456,SAVINGS,ACTIVE,2024-12-03,
A000457,TRANSACTION,ACTIVE,2025-07-15,
A000458,TRANSACTION,DORMANT,2021-01-12,
A000459,SAVINGS,DORMANT,2022-02-15,
A000460,TRANSACTION,ACTIVE,2023-10-03,
A000461,SAVINGS,ACTIVE,2024-03-18,
A000462,SAVINGS,ACTIVE,2026-02-15,
A000463,TRANSACTION,ACTIVE,2024-12-22,
A000464,TRANSACTION,CLOSED,2025-06-12,2026-06-26
A000465,SAVINGS,ACTIVE,2025-06-30,
A000466,TRANSACTION,DORMANT,2022-04-07,
A000467,SAVINGS,ACTIVE,2020-09-08,
A000468,TRANSACTION,ACTIVE,2022-12-07,
A000469,TRANSACTION,ACTIVE,2022-03-25,
A000470,TRANSACTION,DORMANT,2020-08-18,
A000471,TRANSACTION,ACTIVE,2020-09-06,
A000472,TRANSACTION,DORMANT,2021-04-09,
A000473,TRANSACTION,ACTIVE,2021-07-06,
A000474,SAVINGS,DORMANT,2022-05-04,
A000475,TRANSACTION,ACTIVE,2019-04-06,
A000476,TRANSACTION,ACTIVE,2025-02-25,
A000477,TRANSACTION,ACTIVE,2022-07-14,
A000478,SAVINGS,ACTIVE,2024-04-10,
A000479,TRANSACTION,ACTIVE,2024-12-26,
A000480,TRANSACTION,ACTIVE,2024-07-15,
A000481,SAVINGS,ACTIVE,2026-04-13,
A000482,TRANSACTION,ACTIVE,2021-08-10,
A000483,SAVINGS,ACTIVE,2018-05-06,
A000484,TRANSACTION,ACTIVE,2018-09-15,
A000485,SAVINGS,ACTIVE,2021-02-16,
A000486,SAVINGS,ACTIVE,2018-05-12,
A000487,TRANSACTION,ACTIVE,2023-05-14,
A000488,TRANSACTION,ACTIVE,2021-02-03,
A000489,TRANSACTION,DORMANT,2018-05-25,
A000490,TRANSACTION,ACTIVE,2021-10-30,
A000491,SAVINGS,ACTIVE,2026-01-17,
A000492,TRANSACTION,ACTIVE,2023-09-21,
A000493,TRANSACTION,ACTIVE,2022-05-01,
A000494,TRANSACTION,ACTIVE,2019-03-17,
A000495,TRANSACTION,ACTIVE,2025-08-13,
A000496,SAVINGS,ACTIVE,2021-03-19,
A000497,TRANSACTION,ACTIVE,2022-05-25,
A000498,SAVINGS,CLOSED,2022-03-19,2023-07-19
A000499,TRANSACTION,ACTIVE,2022-10-04,
A000500,TRANSACTION,ACTIVE,2020-11-10,
A000501,TRANSACTION,ACTIVE,2018-05-21,
A000502,TRANSACTION,ACTIVE,2023-02-19,
A000503,TRANSACTION,ACTIVE,2020-08-24,
A000504,SAVINGS,ACTIVE,2019-02-21,
A000505,TRANSACTION,DORMANT,2018-10-21,
A000506,TRANSACTION,DORMANT,2024-07-28,
A000507,TRANSACTION,ACTIVE,2026-08-15,
A000508,TRANSACTION,ACTIVE,2025-12-12,
A000509,TRANSACTION,ACTIVE,2021-06-26,
A000510,TRANSACTION,ACTIVE,2020-08-23,
A000511,TRANSACTION,ACTIVE,2024-01-13,
A000512,TRANSACTION,ACTIVE,2025-04-02,
A000513,TRANSACTION,ACTIVE,2026-05-23,
A000514,TRANSACTION,ACTIVE,2020-07-12,
A000515,SAVINGS,ACTIVE,2024-09-26,
A000516,SAVINGS,ACTIVE,2020-05-02,
A000517,SAVINGS,ACTIVE,2025-08-11,
A000518,TRANSACTION,DORMANT,2024-04-20,
A000519,SAVINGS,ACTIVE,2025-08-02,
A000520,TRANSACTION,ACTIVE,2023-03-17,
A000521,SAVINGS,ACTIVE,2021-09-06,
