customer_id,customer_since_date,customer_status
C000059,2018-03-18,ACTIVE
C000060,2023-06-08,ACTIVE
C000061,2020-03-08,ACTIVE
C000062,2025-01-13,ACTIVE
C000063,2023-01-30,ACTIVE
C000064,2021-11-18,INACTIVE
C000065,2024-09-05,ACTIVE
C000066,2018-01-07,ACTIVE
C000067,2019-08-21,ACTIVE
C000068,2019-06-29,ACTIVE
C000069,2025-04-02,ACTIVE
C000070,2017-04-12,ACTIVE
C000071,2025-08-17,ACTIVE
C000072,2018-12-03,ACTIVE
C000073,2025-03-18,ACTIVE
C000074,2018-06-22,ACTIVE
C000075,2023-11-26,ACTIVE
C000076,2022-05-26,ACTIVE
C000077,2017-02-11,ACTIVE
C000078,2023-02-09,INACTIVE
C000079,2017-05-03,ACTIVE
C000080,2019-09-05,ACTIVE
C000081,2025-01-17,ACTIVE
C000082,2021-06-16,INACTIVE
C000083,2020-12-23,ACTIVE
C000084,2023-06-26,ACTIVE
C000085,2020-01-31,ACTIVE
C000086,2018-05-15,ACTIVE
C000087,2018-09-20,ACTIVE
C000088,2018-08-22,ACTIVE
C000089,2025-04-09,ACTIVE
C000090,2021-10-23,ACTIVE
C000091,2017-02-24,ACTIVE
C000092,2025-10-02,ACTIVE
C000093,2025-07-04,ACTIVE
C000094,2018-09-22,ACTIVE
C000095,2019-01-01,ACTIVE
C000096,2018-08-31,ACTIVE
C000097,2023-05-31,ACTIVE
C000098,2023-10-17,ACTIVE
C000099,2018-01-09,ACTIVE
C000100,2021-05-23,ACTIVE
C000101,2024-04-10,ACTIVE
C000102,2025-09-06,ACTIVE
C000103,2022-02-18,ACTIVE
C000104,2018-01-05,ACTIVE
C000105,2025-11-12,ACTIVE
C000106,2022-08-29,ACTIVE
C000107,2023-05-07,ACTIVE
C000108,2023-11-28,ACTIVE
C000109,2024-11-08,ACTIVE
C000110,2018-07-31,ACTIVE
C000111,2023-03-19,ACTIVE
C000112,2020-08-22,ACTIVE
C000113,2017-02-13,ACTIVE
C000114,2020-08-09,ACTIVE
C000115,2021-04-28,ACTIVE
C000116,2021-01-05,ACTIVE
C000117,2017-04-05,ACTIVE
C000118,2023-08-17,ACTIVE
C000119,2020-07-09,ACTIVE
C000120,2017-07-02,INACTIVE
C000121,2023-10-04,ACTIVE
C000122,2021-04-30,ACTIVE
C000123,2024-05-21,ACTIVE
C000124,2025-07-13,INACTIVE
C000125,2019-02-07,ACTIVE
C000126,2021-08-24,ACTIVE
C000127,2017-12-02,ACTIVE
C000128,2026-03-24,ACTIVE
C000129,2017-05-20,INACTIVE
C000130,2023-06-09,ACTIVE
C000131,2024-06-03,ACTIVE
C000132,2019-09-01,ACTIVE
C000133,2026-08-06,ACTIVE
C000134,2018-09-29,ACTIVE
C000135,2019-05-15,ACTIVE
C000136,2021-11-29,ACTIVE
C000137,2019-07-10,ACTIVE
C000138,2021-10-09,ACTIVE
C000139,2024-06-17,ACTIVE
C000140,2017-01-06,ACTIVE
C000141,2017-12-08,ACTIVE
C000142,2018-11-27,ACTIVE
C000143,2019-02-07,ACTIVE
C000144,2021-11-27,ACTIVE
C000145,2018-11-21,ACTIVE
C000146,2025-08-16,ACTIVE
C000147,2018-04-20,ACTIVE
C000148,2020-11-26,ACTIVE
C000149,2025-11-03,ACTIVE
C000150,2021-06-25,ACTIVE
C000151,2024-09-20,INACTIVE
C000152,2019-01-04,INACTIVE
C000153,2019-10-12,ACTIVE
C000154,2020-07-10,ACTIVE
C000155,2025-03-06,ACTIVE
C000156,2020-06-07,ACTIVE
C000157,2021-11-29,ACTIVE
C000158,2025-04-04,ACTIVE
C000159,2022-12-21,ACTIVE
C000160,2021-03-01,ACTIVE
C000161,2024-10-19,INACTIVE
C000162,2021-09-18,ACTIVE
C000163,2022-02-20,ACTIVE
C000164,2017-01-10,ACTIVE
C000165,2018-01-20,ACTIVE
C000166,2023-04-25,ACTIVE
C000167,2019-08-13,ACTIVE
C000168,2025-04-18,ACTIVE
C000169,2024-01-23,ACTIVE
C000170,2022-06-29,ACTIVE
C000171,2018-05-02,ACTIVE
C000172,2018-06-22,ACTIVE
C000173,2017-04-14,ACTIVE
C000174,2020-11-04,ACTIVE
C000175,2022-02-08,ACTIVE
C000176,2018-06-05,ACTIVE
C000177,2024-08-09,ACTIVE
C000178,2018-10-04,ACTIVE
C000179,2018-09-22,ACTIVE
C000180,2026-04-04,ACTIVE
C000181,2021-01-18,ACTIVE
C000182,2019-01-13,ACTIVE
C000183,2019-12-29,ACTIVE
C000184,2021-01-17,ACTIVE
C000185,2017-10-02,ACTIVE
C000186,2022-07-13,ACTIVE
C000187,2017-06-06,ACTIVE
C000188,2020-11-16,ACTIVE
C000189,2021-09-12,ACTIVE
C000190,2025-01-25,INACTIVE
C000191,2022-07-10,ACTIVE
C000192,2017-03-22,ACTIVE
C000193,2025-01-22,INACTIVE
C000194,2024-08-15,INACTIVE
C000195,2023-08-15,ACTIVE
C000196,2018-03-31,ACTIVE
C000197,2018-11-10,ACTIVE
C000198,2023-05-07,ACTIVE
C000199,2022-03-27,ACTIVE
C000200,2026-05-13,ACTIVE
C000201,2020-11-09,ACTIVE
C000202,2017-08-12,ACTIVE
C000203,2018-06-26,ACTIVE
C000204,2021-04-01,ACTIVE
C000205,2020-01-31,ACTIVE
C000206,2018-03-13,ACTIVE
C000207,2025-12-08,ACTIVE
C000208,2024-03-23,ACTIVE
C000209,2024-09-22,ACTIVE
C000210,2025-08-29,ACTIVE
C000211,2019-02-07,ACTIVE
C000212,2018-05-09,ACTIVE
C000213,2022-01-02,ACTIVE
C000214,2024-08-21,ACTIVE
C000215,2023-04-25,ACTIVE
C000216,2024-02-18,ACTIVE
C000217,2023-12-04,ACTIVE
C000218,2024-01-29,ACTIVE
C000219,2020-02-20,ACTIVE
C000220,2022-01-28,INACTIVE
C000221,2021-09-16,ACTIVE
C000222,2017-04-16,ACTIVE
C000223,2019-12-16,ACTIVE
C000224,2019-10-02,ACTIVE
C000225,2019-08-09,ACTIVE
C000226,2023-03-17,ACTIVE
C000227,2017-01-21,ACTIVE
C000228,2018-06-22,ACTIVE
C000229,2018-02-20,ACTIVE
C000230,2019-03-07,INACTIVE
C000231,2018-01-11,ACTIVE
C000232,2022-03-27,ACTIVE
C000233,2023-10-07,ACTIVE
C000234,2026-07-18,INACTIVE
C000235,2020-11-07,ACTIVE
C000236,2026-05-30,ACTIVE
C000237,2024-12-07,ACTIVE
C000238,2025-08-15,ACTIVE
C000239,2026-08-15,ACTIVE
C000240,2021-03-30,ACTIVE
C000241,2026-06-26,ACTIVE
C000242,2017-10-13,INACTIVE
C000243,2022-04-21,ACTIVE
C000244,2020-01-22,ACTIVE
C000245,2022-11-17,INACTIVE
C000246,2018-08-25,ACTIVE
C000247,2023-05-17,ACTIVE
C000248,2020-04-01,ACTIVE
C000249,2021-12-27,ACTIVE
C000250,2020-11-08,ACTIVE
C000251,2017-11-15,ACTIVE
C000252,2022-08-11,ACTIVE
C000253,2019-05-29,ACTIVE
C000254,2024-06-03,INACTIVE
C000255,2025-07-22,ACTIVE
C000256,2025-11-16,ACTIVE
C000257,2022-04-01,ACTIVE
C000258,2018-08-20,ACTIVE
C000259,2022-09-28,ACTIVE
C000260,2018-08-31,ACTIVE
C000261,2022-09-22,ACTIVE
C000262,2023-03-25,ACTIVE
C000263,2024-02-04,ACTIVE
C000264,2020-12-01,ACTIVE
C000265,2023-06-02,ACTIVE
C000266,2023-04-25,ACTIVE
C000267,2022-04-18,ACTIVE
C000268,2021-02-15,ACTIVE
C000269,2023-10-22,ACTIVE
C000270,2021-11-04,ACTIVE
C000271,2024-12-25,ACTIVE
C000272,2022-10-23,ACTIVE
C000273,2018-11-25,ACTIVE
C000274,2022-07-15,ACTIVE
C000275,2021-04-13,ACTIVE
C000276,2017-12-16,ACTIVE
C000277,2021-08-22,INACTIVE
C000278,2018-05-22,INACTIVE
C000279,2025-11-06,ACTIVE
C000280,2024-01-03,ACTIVE
C000281,2025-01-05,ACTIVE
C000282,2019-01-27,ACTIVE
C000283,2025-06-18,ACTIVE
C000284,2020-01-01,ACTIVE
C000285,2025-04-27,ACTIVE
C000286,2024-03-29,ACTIVE
C000287,2018-01-18,ACTIVE
C000288,2021-03-14,ACTIVE
C000289,2025-03-26,ACTIVE
C000290,2026-06-15,ACTIVE
C000291,2025-03-08,ACTIVE
C000292,2025-07-03,ACTIVE
C000293,2017-05-30,INACTIVE
C000294,2021-09-28,ACTIVE
C000295,2025-11-30,ACTIVE
C000296,2018-01-25,ACTIVE
C000297,2020-12-25,ACTIVE
C000298,2017-01-13,ACTIVE
C000299,2017-05-09,ACTIVE
C000300,2023-03-11,INACTIVE
C000301,2018-11-24,ACTIVE
C000302,2019-12-24,ACTIVE
C000303,2020-04-28,ACTIVE
C000304,2022-10-06,INACTIVE
C000305,2024-10-02,ACTIVE
C000306,2026-04-12,ACTIVE
C000307,2017-09-21,ACTIVE
C000308,2024-01-05,INACTIVE
C000309,2021-11-12,ACTIVE
C000310,2020-10-25,ACTIVE
C000311,2024-07-17,ACTIVE
C000312,2018-06-17,ACTIVE
C000313,2017-06-23,ACTIVE
C000314,2024-04-10,ACTIVE
C000315,2022-12-02,ACTIVE
C000316,2018-05-29,ACTIVE
C000317,2021-01-19,ACTIVE
C000318,2023-07-06,ACTIVE
C000319,2024-05-19,INACTIVE
C000320,2019-08-17,ACTIVE
C000321,2018-05-10,ACTIVE
C000322,2024-10-24,ACTIVE
C000323,2018-03-09,ACTIVE
C000324,2017-10-20,ACTIVE
C000325,2025-01-10,ACTIVE
C000326,2022-11-14,ACTIVE
C000327,2019-09-27,ACTIVE
C000328,2022-04-27,ACTIVE
C000329,2019-10-09,ACTIVE
C000330,2023-12-25,INACTIVE
C000331,2020-04-03,ACTIVE
C000332,2024-05-13,ACTIVE
C000333,2018-10-05,ACTIVE
C000334,2024-02-11,ACTIVE
C000335,2024-04-13,ACTIVE
C000336,2017-11-15,INACTIVE
C000337,2025-11-01,ACTIVE
C000338,2025-03-13,INACTIVE
C000339,2017-05-29,ACTIVE
C000340,2019-04-20,ACTIVE
C000341,2024-07-12,ACTIVE
C000342,2024-10-09,ACTIVE
C000343,2018-07-24,ACTIVE
C000344,2017-12-21,ACTIVE
C000345,2021-09-30,ACTIVE
C000346,2022-03-10,ACTIVE
C000347,2022-07-10,INACTIVE
C000348,2025-04-12,ACTIVE
C000349,2019-05-18,ACTIVE
C000350,2026-06-15,ACTIVE
C000351,2021-06-27,ACTIVE
C000352,2019-04-23,ACTIVE
C000353,2021-04-09,ACTIVE
C000354,2023-06-19,ACTIVE
C000355,2022-02-16,ACTIVE
C000356,2018-05-05,ACTIVE
C000357,2020-09-01,ACTIVE
C000358,2025-08-26,INACTIVE
C000359,2026-01-11,ACTIVE
C000360,2026-02-17,ACTIVE
C000361,2025-05-13,ACTIVE
C000362,2026-01-19,ACTIVE
C000363,2023-09-18,ACTIVE
C000364,2018-12-26,ACTIVE
C000365,2025-01-25,ACTIVE
C000366,2024-02-21,ACTIVE
C000367,2019-06-07,ACTIVE
C000368,2025-07-16,INACTIVE
C000369,2022-03-03,ACTIVE
C000370,2018-10-09,ACTIVE
C000371,2022-02-17,ACTIVE
C000372,2018-07-06,ACTIVE
C000373,2022-09-23,ACTIVE
C000374,2017-02-25,ACTIVE
C000375,2021-10-09,ACTIVE
C000376,2023-05-23,INACTIVE
C000377,2019-03-30,ACTIVE
C000378,2021-01-01,ACTIVE
C000379,2017-08-30,ACTIVE
C000380,2021-07-31,ACTIVE
C000381,2017-12-29,ACTIVE
C000382,2023-05-17,ACTIVE
C000383,2021-09-10,ACTIVE
C000384,2024-08-14,ACTIVE
C000385,2018-03-22,ACTIVE
C000386,2026-01-09,ACTIVE
C000387,2018-10-24,ACTIVE
C000388,2020-05-29,ACTIVE
C000389,2017-05-26,ACTIVE
C000390,2018-09-28,ACTIVE
C000391,2017-09-27,ACTIVE
C000392,2019-09-30,ACTIVE
C000393,2019-09-30,ACTIVE
C000394,2025-06-28,ACTIVE
C000395,2025-06-29,ACTIVE
C000396,2020-10-11,ACTIVE
C000397,2025-03-19,ACTIVE
C000398,2021-10-01,INACTIVE
C000399,2023-03-11,ACTIVE
C000400,2019-07-23,ACTIVE
C000401,2025-11-30,ACTIVE
C000402,2023-11-03,ACTIVE
C000403,2019-11-06,ACTIVE
C000404,2018-12-12,ACTIVE
C000405,2018-08-15,ACTIVE
C000406,2021-06-27,ACTIVE
C000407,2017-09-19,ACTIVE
C000408,2017-02-13,ACTIVE
C000409,2021-05-24,ACTIVE
C000410,2026-07-15,ACTIVE
C000411,2024-08-16,ACTIVE
C000412,2024-01-11,ACTIVE
C000413,2021-02-20,ACTIVE
C000414,2025-04-12,ACTIVE
C000415,2020-05-13,ACTIVE
C000416,2023-12-27,ACTIVE
C000417,2021-05-27,ACTIVE
C000418,2018-04-06,ACTIVE
C000419,2018-10-07,ACTIVE
C000420,2018-10-09,ACTIVE
C000421,2018-10-03,ACTIVE
C000422,2019-03-13,ACTIVE
C000423,2022-07-27,ACTIVE
C000424,2019-04-20,ACTIVE
C000425,2022-01-09,ACTIVE
C000426,2017-05-31,ACTIVE
C000427,2020-11-27,ACTIVE
C000428,2026-07-08,ACTIVE
C000429,2023-12-30,ACTIVE
C000430,2020-04-01,ACTIVE
C000431,2017-02-12,ACTIVE
C000432,2022-03-23,ACTIVE
C000433,2023-05-27,INACTIVE
C000434,2017-04-04,INACTIVE
C000435,2022-10-03,ACTIVE
C000436,2017-12-26,ACTIVE
C000437,2024-12-01,ACTIVE
C000438,2017-05-19,ACTIVE
C000439,2024-06-30,ACTIVE
C000440,2024-10-12,ACTIVE
C000441,2024-03-23,ACTIVE
C000442,2024-04-17,ACTIVE
C000443,2023-08-16,ACTIVE
C000444,2017-12-20,ACTIVE
C000445,2018-02-03,ACTIVE
C000446,2017-03-13,ACTIVE
C000447,2020-05-26,ACTIVE
C000448,2018-10-06,ACTIVE
C000449,2025-06-17,INACTIVE
C000450,2025-07-26,INACTIVE
C000451,2018-07-24,ACTIVE
C000452,2022-01-14,ACTIVE
C000453,2026-01-02,ACTIVE
C000454,2022-02-17,ACTIVE
C000455,2020-12-13,ACTIVE
C000456,2017-11-17,ACTIVE
C000457,2018-02-19,ACTIVE
C000458,2026-01-25,ACTIVE
C000459,2017-01-12,ACTIVE
C000460,2020-08-15,ACTIVE
C000461,2024-10-12,ACTIVE
C000462,2024-10-20,ACTIVE
C000463,2017-11-03,ACTIVE
C000464,2017-02-16,ACTIVE
C000465,2022-12-18,ACTIVE
C000466,2024-12-20,ACTIVE
C000467,2024-07-21,ACTIVE
C000468,2020-08-21,ACTIVE
C000469,2024-04-17,ACTIVE
C000470,2023-12-17,ACTIVE
C000471,2025-08-29,ACTIVE
C000472,2026-04-23,ACTIVE
C000473,2021-01-20,ACTIVE
C000474,2019-07-21,ACTIVE
C000475,2022-03-23,INACTIVE
C000476,2018-06-28,ACTIVE
C000477,2026-04-17,ACTIVE
C000478,2020-03-01,ACTIVE
C000479,2023-01-12,ACTIVE
C000480,2022-01-04,ACTIVE
C000481,2025-02-10,ACTIVE
C000482,2025-03-17,ACTIVE
C000483,2019-06-01,ACTIVE
C000484,2024-11-08,ACTIVE
C000485,2026-06-01,ACTIVE
C000486,2025-10-22,ACTIVE
C000487,2019-07-08,ACTIVE
C000488,2021-07-25,INACTIVE
C000489,2022-08-26,ACTIVE
C000490,2020-04-17,ACTIVE
C000491,2022-11-09,ACTIVE
C000492,2020-11-12,ACTIVE
C000493,2021-10-07,ACTIVE
C000494,2017-06-10,ACTIVE
C000495,2026-08-05,ACTIVE
C000496,2020-04-25,ACTIVE
C000497,2019-09-12,INACTIVE
C000498,2018-08-24,INACTIVE
C000499,2018-01-08,ACTIVE
C000500,2024-09-05,ACTIVE
C000501,2022-07-29,ACTIVE
C000502,2020-12-20,ACTIVE
C000503,2024-09-29,ACTIVE
C000504,2019-11-02,ACTIVE
C000505,2024-11-30,ACTIVE
C000506,2026-01-05,INACTIVE
C000507,2026-04-28,ACTIVE
C000508,2021-06-23,ACTIVE
C000509,2017-12-17,ACTIVE
C000510,2020-12-23,INACTIVE
C000511,2017-06-21,ACTIVE
C000512,2020-12-18,ACTIVE
C000513,2019-08-08,ACTIVE
C000514,2023-04-14,ACTIVE
C000515,2018-10-21,ACTIVE
C000516,2022-12-12,ACTIVE
C000517,2026-05-01,ACTIVE
C000518,2024-05-17,ACTIVE
C000519,2025-08-26,ACTIVE
C000520,2020-06-07,ACTIVE
C000521,2026-06-18,ACTIVE
C000522,2017-11-08,INACTIVE
C000523,2024-04-25,ACTIVE
C000524,2020-09-13,ACTIVE
C000525,2019-02-10,ACTIVE
C000526,2019-12-25,ACTIVE
C000527,2019-07-02,ACTIVE
C000528,2022-10-02,ACTIVE
C000529,2024-01-23,ACTIVE
C000530,2017-02-23,ACTIVE
C000531,2017-01-16,ACTIVE
C000532,2022-07-11,INACTIVE
C000533,2026-06-12,ACTIVE
C000534,2024-05-10,ACTIVE
C000535,2025-04-18,INACTIVE
C000536,2020-07-02,ACTIVE
C000537,2019-09-11,ACTIVE
C000538,2025-03-31,ACTIVE
C000539,2023-03-22,ACTIVE
C000540,2021-03-26,ACTIVE
C000541,2021-10-03,ACTIVE
C000542,2026-07-15,ACTIVE
C000543,2017-06-15,ACTIVE
C000544,2018-07-17,ACTIVE
C000545,2019-02-02,ACTIVE
C000546,2017-11-08,ACTIVE
C000547,2017-07-01,ACTIVE
C000548,2024-11-19,ACTIVE
C000549,2026-05-19,ACTIVE
C000550,2026-04-16,ACTIVE
C000551,2023-05-07,ACTIVE
C000552,2026-05-27,ACTIVE
C000553,2018-02-27,ACTIVE
C000554,2026-05-31,ACTIVE
C000555,2022-10-24,ACTIVE
C000556,2018-08-18,ACTIVE
C000557,2022-09-30,ACTIVE
C000558,2019-03-14,ACTIVE
C000559,2022-12-20,ACTIVE
C000560,2021-09-29,ACTIVE
C000561,2020-05-17,ACTIVE
C000562,2023-07-30,ACTIVE
C000563,2020-10-09,ACTIVE
C000564,2017-02-03,ACTIVE
C000565,2021-06-24,ACTIVE
C000566,2018-12-06,ACTIVE
C000567,2020-03-02,INACTIVE
C000568,2017-02-10,INACTIVE
C000569,2020-08-02,ACTIVE
C000570,2019-11-01,ACTIVE
C000571,2023-04-29,INACTIVE
C000572,2020-10-04,ACTIVE
C000573,2018-05-04,ACTIVE
C000574,2017-06-02,ACTIVE
C000575,2018-09-15,ACTIVE
C000576,2019-07-22,INACTIVE
C000577,2017-11-23,ACTIVE
C000578,2022-05-07,ACTIVE
C000579,2017-07-07,ACTIVE
C000580,2018-11-05,ACTIVE
C000581,2021-03-28,ACTIVE
C000582,2017-01-29,ACTIVE
C000583,2018-04-15,ACTIVE
C000584,2024-04-22,ACTIVE
C000585,2018-01-22,ACTIVE
C000586,2021-12-12,ACTIVE
C000587,2026-02-11,ACTIVE
C000588,2022-08-23,ACTIVE
C000589,2020-04-11,ACTIVE
C000590,2017-07-20,ACTIVE
C000591,2026-07-20,ACTIVE
C000592,2019-12-04,ACTIVE
C000593,2025-12-07,ACTIVE
C000594,2018-10-26,ACTIVE
C000595,2024-01-15,ACTIVE
C000596,2020-03-07,ACTIVE
C000597,2017-02-20,ACTIVE
C000598,2023-10-30,ACTIVE
C000599,2022-10-03,ACTIVE
C000600,2021-10-19,ACTIVE
C000601,2021-05-28,ACTIVE
C000602,2024-08-24,ACTIVE
C000603,2021-09-19,ACTIVE
C000604,2023-12-18,INACTIVE
C000605,2019-02-02,ACTIVE
C000606,2019-08-07,ACTIVE
C000607,2019-05-20,ACTIVE
C000608,2026-05-19,ACTIVE
C000609,2024-05-10,ACTIVE
C000610,2023-05-11,ACTIVE
C000611,2017-02-23,ACTIVE
C000612,2025-02-23,ACTIVE
C000613,2024-03-29,ACTIVE
C000614,2025-02-07,ACTIVE
C000615,2026-01-02,ACTIVE
C000616,2022-11-14,ACTIVE
C000617,2018-06-27,ACTIVE
C000618,2026-02-04,ACTIVE
C000619,2025-12-07,INACTIVE
C000620,2018-12-22,ACTIVE
C000621,2019-10-06,ACTIVE
C000622,2025-09-13,ACTIVE
C000623,2018-09-22,ACTIVE
C000624,2023-01-24,ACTIVE
C000625,2021-06-05,ACTIVE
C000626,2024-01-10,ACTIVE
C000627,2019-04-09,ACTIVE
C000628,2019-07-06,ACTIVE
C000629,2023-04-14,ACTIVE
C000630,2025-07-04,ACTIVE
C000631,2024-05-07,ACTIVE
C000632,2019-08-07,ACTIVE
C000633,2023-01-09,ACTIVE
C000634,2017-01-27,ACTIVE
C000635,2019-05-17,ACTIVE
C000636,2019-12-18,ACTIVE
C000637,2024-01-12,ACTIVE
C000638,2017-01-31,ACTIVE
C000639,2025-07-25,ACTIVE
C000640,2026-05-20,ACTIVE
C000641,2024-04-04,ACTIVE
C000642,2017-01-24,ACTIVE
C000643,2018-07-21,ACTIVE
C000644,2026-07-09,ACTIVE
C000645,2020-11-24,ACTIVE
C000646,2019-06-18,ACTIVE
C000647,2020-11-20,ACTIVE
C000648,2026-03-05,ACTIVE
C000649,2024-07-28,ACTIVE
C000650,2019-12-25,ACTIVE
C000651,2021-05-22,ACTIVE
C000652,2019-05-26,ACTIVE
C000653,2021-12-07,ACTIVE
C000654,2022-04-01,ACTIVE
C000655,2017-11-07,ACTIVE
C000656,2020-01-15,ACTIVE
C000657,2022-08-03,ACTIVE
C000658,2024-08-31,ACTIVE
C000659,2024-03-14,ACTIVE
C000660,2020-04-06,ACTIVE
C000661,2021-07-28,ACTIVE
C000662,2022-12-10,ACTIVE
C000663,2020-02-23,ACTIVE
C000664,2019-03-10,ACTIVE
C000665,2025-07-23,ACTIVE
C000666,2021-12-24,INACTIVE
C000667,2021-02-13,ACTIVE
C000668,2022-08-25,ACTIVE
C000669,2019-10-11,INACTIVE
C000670,2026-03-09,INACTIVE
C000671,2024-06-25,ACTIVE
C000672,2025-02-17,ACTIVE
C000673,2022-11-16,ACTIVE
C000674,2021-02-27,ACTIVE
C000675,2021-01-25,ACTIVE
C000676,2018-08-19,ACTIVE
C000677,2022-02-24,ACTIVE
C000678,2019-01-21,ACTIVE
C000679,2022-10-10,ACTIVE
C000680,2021-05-23,ACTIVE
C000681,2018-03-08,ACTIVE
C000682,2025-07-29,ACTIVE
C000683,2017-07-27,ACTIVE
C000684,2021-06-19,ACTIVE
C000685,2020-09-05,ACTIVE
C000686,2020-12-15,ACTIVE
C000687,2024-09-29,ACTIVE
C000688,2022-05-01,ACTIVE
C000689,2017-10-09,ACTIVE
C000690,2023-05-04,ACTIVE
C000691,2018-11-11,ACTIVE
C000692,2017-04-27,INACTIVE
C000693,2018-03-04,ACTIVE
C000694,2022-11-29,ACTIVE
C000695,2021-07-23,ACTIVE
C000696,2023-10-09,ACTIVE
C000697,2026-01-03,ACTIVE
C000698,2024-04-01,ACTIVE
C000699,2021-01-26,ACTIVE
C000700,2024-02-02,ACTIVE
C000701,2023-12-30,ACTIVE
C000702,2022-04-26,ACTIVE
C000703,2020-12-02,ACTIVE
C000704,2019-08-03,INACTIVE
C000705,2025-03-16,ACTIVE
C000706,2021-03-03,ACTIVE
C000707,2023-03-20,INACTIVE
C000708,2019-05-20,ACTIVE
C000709,2026-06-01,ACTIVE
C000710,2021-09-17,ACTIVE
C000711,2017-10-26,ACTIVE
C000712,2020-09-25,INACTIVE
C000713,2026-02-11,ACTIVE
C000714,2020-10-11,ACTIVE
C000715,2026-08-12,ACTIVE
C000716,2026-01-11,ACTIVE
C000717,2017-07-10,ACTIVE
C000718,2019-10-13,ACTIVE
C000719,2021-01-26,ACTIVE
C000720,2026-02-03,ACTIVE
C000721,2020-01-06,ACTIVE
C000722,2018-12-26,ACTIVE
C000723,2025-05-21,ACTIVE
C000724,2021-09-12,ACTIVE
C000725,2025-04-27,INACTIVE
C000726,2017-11-25,ACTIVE
C000727,2022-08-12,ACTIVE
C000728,2026-03-15,ACTIVE
C000729,2024-12-29,ACTIVE
C000730,2025-09-09,ACTIVE
C000731,2018-02-07,ACTIVE
C000732,2025-11-17,ACTIVE
C000733,2024-09-15,ACTIVE
C000734,2020-03-20,ACTIVE
C000735,2024-08-01,ACTIVE
C000736,2019-12-20,ACTIVE
C000737,2019-10-09,ACTIVE
C000738,2019-12-13,ACTIVE
C000739,2018-07-20,ACTIVE
C000740,2021-09-16,ACTIVE
C000741,2021-03-31,ACTIVE
C000742,2020-10-12,ACTIVE
C000743,2017-02-05,ACTIVE
C000744,2025-10-06,ACTIVE
C000745,2021-08-21,ACTIVE
C000746,2021-06-06,ACTIVE
C000747,2018-05-10,ACTIVE
C000748,2022-10-22,ACTIVE
C000749,2025-02-10,ACTIVE
C000750,2023-10-25,ACTIVE
C000751,2021-07-26,INACTIVE
C000752,2023-08-05,ACTIVE
C000753,2019-03-25,ACTIVE
C000754,2020-02-05,ACTIVE
C000755,2017-11-15,ACTIVE
C000756,2022-05-21,ACTIVE
C000757,2019-12-27,ACTIVE
C000758,2018-10-25,ACTIVE
C000759,2024-10-23,ACTIVE
C000760,2022-02-14,ACTIVE
C000761,2019-10-01,ACTIVE
C000762,2020-11-29,ACTIVE
C000763,2021-10-15,INACTIVE
C000764,2026-05-21,ACTIVE
C000765,2017-02-07,ACTIVE
C000766,2022-11-17,ACTIVE
C000767,2026-07-16,ACTIVE
C000768,2019-01-13,ACTIVE
C000769,2023-01-13,ACTIVE
C000770,2020-03-11,ACTIVE
C000771,2023-01-12,ACTIVE
C000772,2019-07-26,ACTIVE
C000773,2024-02-09,ACTIVE
C000774,2019-07-08,ACTIVE
C000775,2025-06-23,ACTIVE
