customer_id,account_id,holder_role
C000179,A000120,PRIMARY
C000661,A000121,PRIMARY
C000982,A000122,PRIMARY
C000225,A000123,PRIMARY
C000545,A000124,PRIMARY
C000117,A000125,PRIMARY
C000246,A000126,PRIMARY
C000374,A000127,PRIMARY
C000300,A000128,PRIMARY
C000578,A000129,PRIMARY
C000243,A000130,PRIMARY
C000235,A000131,PRIMARY
C000426,A000132,PRIMARY
C000427,A000133,PRIMARY
C000048,A000134,PRIMARY
C000106,A000135,PRIMARY
C000464,A000136,PRIMARY
C000581,A000137,PRIMARY
C000042,A000138,PRIMARY
C000782,A000139,PRIMARY
C000888,A000140,PRIMARY
C000860,A000141,PRIMARY
C000623,A000142,PRIMARY
C000463,A000143,PRIMARY
C000918,A000144,PRIMARY
C000501,A000145,PRIMARY
C000336,A000146,PRIMARY
C000293,A000147,PRIMARY
C000775,A000148,PRIMARY
C000726,A000149,PRIMARY
C000977,A000150,PRIMARY
C000585,A000151,PRIMARY
C000694,A000152,PRIMARY
C000656,A000153,PRIMARY
C000991,A000154,PRIMARY
C000632,A000155,PRIMARY
C000918,A000156,PRIMARY
C000228,A000157,PRIMARY
C000120,A000158,PRIMARY
C000557,A000159,PRIMARY
C000145,A000160,PRIMARY
C000287,A000161,PRIMARY
C000718,A000162,PRIMARY
C000812,A000163,PRIMARY
C000273,A000164,PRIMARY
C000426,A000165,PRIMARY
C000785,A000166,PRIMARY
C000611,A000167,PRIMARY
C000417,A000168,PRIMARY
C000843,A000169,PRIMARY
C000771,A000170,PRIMARY
C000114,A000171,PRIMARY
C000412,A000172,PRIMARY
C000145,A000173,PRIMARY
C000673,A000174,PRIMARY
C000957,A000175,PRIMARY
C000923,A000176,PRIMARY
C000625,A000177,PRIMARY
C000515,A000178,PRIMARY
C000769,A000179,PRIMARY
C000068,A000180,PRIMARY
C000647,A000181,PRIMARY
C000012,A000182,PRIMARY
C000153,A000183,PRIMARY
C000822,A000184,PRIMARY
C000794,A000185,PRIMARY
C000217,A000186,PRIMARY
C000374,A000187,PRIMARY
C000959,A000188,PRIMARY
C000745,A000189,PRIMARY
C000686,A000190,PRIMARY
C000460,A000191,PRIMARY
C000242,A000192,PRIMARY
C000276,A000193,PRIMARY
C000573,A000194,PRIMARY
C000722,A000195,PRIMARY
C000478,A000196,PRIMARY
C000551,A000197,PRIMARY
C000548,A000198,PRIMARY
C000540,A000199,PRIMARY
C000468,A000200,PRIMARY
C000312,A000201,PRIMARY
C000780,A000202,PRIMARY
C000499,A000203,PRIMARY
C000556,A000204,PRIMARY
C000731,A000205,PRIMARY
C000585,A000206,PRIMARY
C000142,A000207,PRIMARY
C000204,A000208,PRIMARY
C000620,A000209,PRIMARY
C000175,A000210,PRIMARY
C000299,A000211,PRIMARY
C000997,A000212,PRIMARY
C000392,A000213,PRIMARY
C000080,A000214,PRIMARY
C000502,A000215,PRIMARY
C000758,A000216,PRIMARY
C000110,A000217,PRIMARY
C000242,A000218,PRIMARY
C000858,A000219,PRIMARY
C000865,A000220,PRIMARY
C000425,A000221,PRIMARY
C000029,A000222,PRIMARY
C000903,A000223,PRIMARY
C000119,A000224,PRIMARY
C000790,A000225,PRIMARY
C000392,A000226,PRIMARY
C000185,A000227,PRIMARY
C000195,A000228,PRIMARY
C000536,A000229,PRIMARY
C000248,A000230,PRIMARY
C000998,A000231,PRIMARY
C000407,A000232,PRIMARY
C000583,A000233,PRIMARY
C000998,A000234,PRIMARY
C000935,A000235,PRIMARY
C000889,A000236,PRIMARY
C000212,A000237,PRIMARY
C000066,A000238,PRIMARY
C000662,A000239,PRIMARY
C000216,A000240,PRIMARY
C000390,A000241,PRIMARY
C000965,A000242,PRIMARY
C000407,A000243,PRIMARY
C000007,A000244,PRIMARY
C000651,A000245,PRIMARY
C000824,A000246,PRIMARY
C000736,A000247,PRIMARY
C000145,A000248,PRIMARY
C000048,A000249,PRIMARY
C000986,A000250,PRIMARY
C000588,A000251,PRIMARY
C000060,A000252,PRIMARY
C000938,A000253,PRIMARY
C000889,A000254,PRIMARY
C000487,A000255,PRIMARY
C000711,A000256,PRIMARY
C000159,A000257,PRIMARY
C000620,A000258,PRIMARY
C000106,A000259,PRIMARY
C000085,A000260,PRIMARY
C000931,A000261,PRIMARY
C000425,A000262,PRIMARY
C000669,A000263,PRIMARY
C000039,A000264,PRIMARY
C000799,A000265,PRIMARY
C000515,A000266,PRIMARY
C000448,A000267,PRIMARY
C000160,A000268,PRIMARY
C000700,A000269,PRIMARY
C000227,A000270,PRIMARY
C000546,A000271,PRIMARY
C000375,A000272,PRIMARY
C000568,A000273,PRIMARY
C000444,A000274,PRIMARY
C000562,A000275,PRIMARY
C000635,A000276,PRIMARY
C000611,A000277,PRIMARY
C000132,A000278,PRIMARY
C000405,A000279,PRIMARY
C000868,A000280,PRIMARY
C000153,A000281,PRIMARY
C000694,A000282,PRIMARY
C000022,A000283,PRIMARY
C000498,A000284,PRIMARY
C000911,A000285,PRIMARY
C000824,A000286,PRIMARY
C000694,A000287,PRIMARY
C000202,A000288,PRIMARY
C000889,A000289,PRIMARY
C000008,A000290,PRIMARY
C000931,A000291,PRIMARY
C000260,A000292,PRIMARY
C000998,A000293,PRIMARY
C000874,A000294,PRIMARY
C000020,A000295,PRIMARY
C000956,A000296,PRIMARY
C000446,A000297,PRIMARY
C000250,A000298,PRIMARY
C000176,A000299,PRIMARY
C000852,A000300,PRIMARY
C000263,A000301,PRIMARY
C000999,A000302,PRIMARY
C000693,A000303,PRIMARY
C000333,A000304,PRIMARY
C000115,A000305,PRIMARY
C000448,A000306,PRIMARY
C000276,A000307,PRIMARY
C000582,A000308,PRIMARY
C000513,A000309,PRIMARY
C000125,A000310,PRIMARY
C000036,A000311,PRIMARY
C000592,A000312,PRIMARY
C000810,A000313,PRIMARY
C000018,A000314,PRIMARY
C000497,A000315,PRIMARY
C000930,A000316,PRIMARY
C000211,A000317,PRIMARY
C000547,A000318,PRIMARY
C000664,A000319,PRIMARY
C000478,A000320,PRIMARY
C000806,A000321,PRIMARY
C000650,A000322,PRIMARY
C000407,A000323,PRIMARY
C000894,A000324,PRIMARY
C000974,A000325,PRIMARY
C000970,A000326,PRIMARY
C000719,A000327,PRIMARY
C000378,A000328,PRIMARY
C000972,A000329,PRIMARY
C000701,A000330,PRIMARY
C000586,A000331,PRIMARY
C000095,A000332,PRIMARY
C000364,A000333,PRIMARY
C000323,A000334,PRIMARY
C000095,A000335,PRIMARY
C000176,A000336,PRIMARY
C000307,A000337,PRIMARY
C000379,A000338,PRIMARY
C000801,A000339,PRIMARY
C000997,A000340,PRIMARY
C000424,A000341,PRIMARY
C000509,A000342,PRIMARY
C000324,A000343,PRIMARY
C000920,A000344,PRIMARY
C000839,A000345,PRIMARY
C000220,A000346,PRIMARY
C000087,A000347,PRIMARY
C000805,A000348,PRIMARY
C000206,A000349,PRIMARY
C000936,A000350,PRIMARY
C000916,A000351,PRIMARY
C000324,A000352,PRIMARY
C000383,A000353,PRIMARY
C000201,A000354,PRIMARY
C000157,A000355,PRIMARY
C000169,A000356,PRIMARY
C000971,A000357,PRIMARY
C000590,A000358,PRIMARY
C000721,A000359,PRIMARY
C000839,A000360,PRIMARY
C000153,A000361,PRIMARY
C000457,A000362,PRIMARY
C000656,A000363,PRIMARY
C000836,A000364,PRIMARY
C000404,A000365,PRIMARY
C000408,A000366,PRIMARY
C000839,A000367,PRIMARY
C000555,A000368,PRIMARY
C000138,A000369,PRIMARY
C000310,A000370,PRIMARY
C000642,A000371,PRIMARY
C000152,A000372,PRIMARY
C000024,A000373,PRIMARY
C000116,A000374,PRIMARY
C000743,A000375,PRIMARY
C000425,A000376,PRIMARY
C000821,A000377,PRIMARY
C000264,A000378,PRIMARY
C000012,A000379,PRIMARY
C000569,A000380,PRIMARY
C000843,A000381,PRIMARY
C000565,A000382,PRIMARY
C000695,A000383,PRIMARY
C000056,A000384,PRIMARY
C000091,A000385,PRIMARY
C000104,A000386,PRIMARY
C000058,A000387,PRIMARY
C000940,A000388,PRIMARY
C000699,A000389,PRIMARY
C000181,A000390,PRIMARY
C000546,A000391,PRIMARY
C000249,A000392,PRIMARY
C000711,A000393,PRIMARY
C000943,A000394,PRIMARY
C000719,A000395,PRIMARY
C000999,A000396,PRIMARY
C000826,A000397,PRIMARY
C000504,A000398,PRIMARY
C000157,A000399,PRIMARY
C000845,A000400,PRIMARY
C000020,A000401,PRIMARY
C000059,A000402,PRIMARY
C000352,A000403,PRIMARY
C000928,A000404,PRIMARY
C000659,A000405,PRIMARY
C000029,A000406,PRIMARY
C000693,A000407,PRIMARY
C000225,A000408,PRIMARY
C000417,A000409,PRIMARY
C000863,A000410,PRIMARY
C000999,A000411,PRIMARY
C000307,A000412,PRIMARY
C000625,A000413,PRIMARY
C000129,A000414,PRIMARY
C000774,A000415,PRIMARY
C000276,A000416,PRIMARY
C000848,A000417,PRIMARY
C000650,A000418,PRIMARY
C000321,A000419,PRIMARY
C000546,A000420,PRIMARY
C000356,A000421,PRIMARY
C000025,A000422,PRIMARY
C000094,A000423,PRIMARY
C000806,A000424,PRIMARY
C000494,A000425,PRIMARY
C000145,A000426,PRIMARY
C000721,A000427,PRIMARY
C000865,A000428,PRIMARY
C000164,A000429,PRIMARY
C000931,A000430,PRIMARY
C000389,A000431,PRIMARY
C000789,A000432,PRIMARY
C000852,A000433,PRIMARY
C000229,A000434,PRIMARY
C000197,A000435,PRIMARY
C000509,A000436,PRIMARY
C000125,A000437,PRIMARY
C000596,A000438,PRIMARY
C000830,A000439,PRIMARY
C000222,A000440,PRIMARY
C000476,A000441,PRIMARY
C000857,A000442,PRIMARY
C000811,A000443,PRIMARY
C000959,A000444,PRIMARY
C000197,A000445,PRIMARY
C000965,A000446,PRIMARY
C000135,A000447,PRIMARY
C000794,A000448,PRIMARY
C000251,A000449,PRIMARY
C000381,A000450,PRIMARY
C000563,A000451,PRIMARY
C000431,A000452,PRIMARY
C000938,A000453,PRIMARY
C000012,A000454,PRIMARY
C000431,A000455,PRIMARY
C000483,A000456,PRIMARY
C000712,A000457,PRIMARY
C000287,A000458,PRIMARY
C000695,A000459,PRIMARY
C000088,A000460,PRIMARY
C000547,A000461,PRIMARY
C000806,A000462,PRIMARY
C000643,A000463,PRIMARY
C000323,A000464,PRIMARY
C000717,A000465,PRIMARY
C000740,A000466,PRIMARY
C000212,A000467,PRIMARY
C000170,A000468,PRIMARY
C000070,A000469,PRIMARY
C000905,A000470,PRIMARY
C000165,A000471,PRIMARY
C000791,A000472,PRIMARY
C000340,A000473,PRIMARY
C000569,A000474,PRIMARY
C000691,A000475,PRIMARY
C000834,A000476,PRIMARY
C000298,A000477,PRIMARY
C000835,A000478,PRIMARY
C000534,A000479,PRIMARY
C000633,A000480,PRIMARY
C000001,A000481,PRIMARY
C000569,A000482,PRIMARY
C000202,A000483,PRIMARY
C000711,A000484,PRIMARY
C000888,A000485,PRIMARY
C000692,A000486,PRIMARY
C000426,A000487,PRIMARY
C000404,A000488,PRIMARY
C000374,A000489,PRIMARY
C000299,A000490,PRIMARY
C000019,A000491,PRIMARY
C000438,A000492,PRIMARY
C000971,A000493,PRIMARY
C000464,A000494,PRIMARY
C000708,A000495,PRIMARY
C000754,A000496,PRIMARY
C000082,A000497,PRIMARY
C000810,A000498,PRIMARY
C000681,A000499,PRIMARY
C000545,A000500,PRIMARY
C000129,A000501,PRIMARY
C000947,A000502,PRIMARY
C000312,A000503,PRIMARY
C000982,A000504,PRIMARY
C000022,A000505,PRIMARY
C000425,A000506,PRIMARY
C000011,A000507,PRIMARY
C000738,A000508,PRIMARY
C000783,A000509,PRIMARY
C000833,A000510,PRIMARY
C000726,A000511,PRIMARY
C000972,A000512,PRIMARY
C000132,A000513,PRIMARY
C000377,A000514,PRIMARY
C000340,A000515,PRIMARY
C000446,A000516,PRIMARY
C000837,A000517,PRIMARY
C000222,A000518,PRIMARY
C000191,A000519,PRIMARY
C000993,A000520,PRIMARY
C000675,A000521,PRIMARY
C000865,A000522,PRIMARY
C000843,A000523,PRIMARY
C000261,A000524,PRIMARY
C000374,A000525,PRIMARY
C000298,A000526,PRIMARY
C000632,A000527,PRIMARY
C000678,A000528,PRIMARY
C000685,A000529,PRIMARY
C000739,A000530,PRIMARY
C000080,A000531,PRIMARY
C000313,A000532,PRIMARY
C000564,A000533,PRIMARY
C000717,A000534,PRIMARY
C000858,A000535,PRIMARY
C000077,A000536,PRIMARY
C000593,A000537,PRIMARY
C000293,A000538,PRIMARY
C000024,A000539,PRIMARY
C000248,A000540,PRIMARY
C000039,A000541,PRIMARY
C000222,A000542,PRIMARY
C000246,A000543,PRIMARY
C000969,A000544,PRIMARY
C000499,A000545,PRIMARY
C000194,A000546,PRIMARY
C000473,A000547,PRIMARY
C000199,A000548,PRIMARY
C000129,A000549,PRIMARY
C000388,A000550,PRIMARY
C000142,A000551,PRIMARY
C000544,A000552,PRIMARY
C000765,A000553,PRIMARY
C000574,A000554,PRIMARY
C000379,A000555,PRIMARY
C000355,A000556,PRIMARY
C000944,A000557,PRIMARY
C000888,A000558,PRIMARY
C000902,A000559,PRIMARY
C000217,A000560,PRIMARY
C000379,A000561,PRIMARY
C000246,A000562,PRIMARY
C000192,A000563,PRIMARY
C000809,A000564,PRIMARY
C000171,A000565,PRIMARY
C000296,A000566,PRIMARY
C000481,A000567,PRIMARY
C000976,A000568,PRIMARY
C000826,A000569,PRIMARY
C000582,A000570,PRIMARY
C000336,A000571,PRIMARY
C000597,A000572,PRIMARY
C000558,A000573,PRIMARY
C000755,A000574,PRIMARY
C000998,A000575,PRIMARY
C000821,A000576,PRIMARY
C000681,A000577,PRIMARY
C000464,A000578,PRIMARY
C000442,A000579,PRIMARY
C000621,A000580,PRIMARY
C000446,A000581,PRIMARY
C000823,A000582,PRIMARY
C000086,A000583,PRIMARY
C000145,A000584,PRIMARY
C000826,A000585,PRIMARY
C000544,A000586,PRIMARY
C000938,A000587,PRIMARY
C000537,A000588,PRIMARY
C000940,A000589,PRIMARY
C000379,A000590,PRIMARY
C000512,A000591,PRIMARY
C000712,A000592,PRIMARY
C000023,A000593,PRIMARY
C000813,A000594,PRIMARY
C000132,A000595,PRIMARY
C000323,A000596,PRIMARY
C000889,A000597,PRIMARY
C000561,A000598,PRIMARY
C000132,A000599,PRIMARY
C000187,A000600,PRIMARY
C000331,A000601,PRIMARY
C000618,A000602,PRIMARY
C000313,A000603,PRIMARY
C000527,A000604,PRIMARY
C000708,A000605,PRIMARY
C000141,A000606,PRIMARY
C000661,A000607,PRIMARY
C000002,A000608,PRIMARY
C000724,A000609,PRIMARY
C000971,A000610,PRIMARY
C000086,A000611,PRIMARY
C000099,A000612,PRIMARY
C000374,A000613,PRIMARY
C000711,A000614,PRIMARY
C000431,A000615,PRIMARY
C000997,A000616,PRIMARY
C000857,A000617,PRIMARY
C000685,A000618,PRIMARY
C000546,A000619,PRIMARY
C000544,A000620,PRIMARY
C000904,A000621,PRIMARY
C000114,A000622,PRIMARY
C000645,A000623,PRIMARY
C000188,A000624,PRIMARY
C000282,A000625,PRIMARY
C000298,A000626,PRIMARY
C000505,A000627,PRIMARY
C000938,A000628,PRIMARY
C000757,A000629,PRIMARY
C000738,A000630,PRIMARY
C000588,A000631,PRIMARY
C000389,A000632,PRIMARY
C000418,A000633,PRIMARY
C000058,A000634,PRIMARY
C000253,A000635,PRIMARY
C000797,A000636,PRIMARY
C000110,A000637,PRIMARY
C000229,A000638,PRIMARY
C000683,A000639,PRIMARY
C000056,A000640,PRIMARY
C000002,A000641,PRIMARY
C000165,A000642,PRIMARY
C000995,A000643,PRIMARY
C000604,A000644,PRIMARY
C000436,A000645,PRIMARY
C000464,A000646,PRIMARY
C000015,A000647,PRIMARY
C000189,A000648,PRIMARY
C000646,A000649,PRIMARY
C000762,A000650,PRIMARY
C000167,A000651,PRIMARY
C000079,A000652,PRIMARY
C000938,A000653,PRIMARY
C000354,A000654,PRIMARY
C000605,A000655,PRIMARY
C000610,A000656,PRIMARY
C000509,A000657,PRIMARY
C000845,A000658,PRIMARY
C000582,A000659,PRIMARY
C000420,A000660,PRIMARY
C000537,A000661,PRIMARY
C000938,A000662,PRIMARY
C000059,A000663,PRIMARY
C000125,A000664,PRIMARY
C000173,A000665,PRIMARY
C000736,A000666,PRIMARY
C000642,A000667,PRIMARY
C000623,A000668,PRIMARY
C000075,A000669,PRIMARY
C000901,A000670,PRIMARY
C000930,A000671,PRIMARY
C000426,A000672,PRIMARY
C000134,A000673,PRIMARY
C000831,A000674,PRIMARY
C000843,A000675,PRIMARY
C000434,A000676,PRIMARY
C000377,A000677,PRIMARY
C000717,A000678,PRIMARY
C000842,A000679,PRIMARY
C000882,A000680,PRIMARY
C000553,A000681,PRIMARY
C000007,A000682,PRIMARY
C000950,A000683,PRIMARY
C000634,A000684,PRIMARY
C000691,A000685,PRIMARY
C000669,A000686,PRIMARY
C000468,A000687,PRIMARY
C000832,A000688,PRIMARY
C000669,A000689,PRIMARY
C000955,A000690,PRIMARY
C000627,A000691,PRIMARY
C000567,A000692,PRIMARY
C000010,A000693,PRIMARY
C000661,A000694,PRIMARY
C000356,A000695,PRIMARY
C000669,A000696,PRIMARY
C000564,A000697,PRIMARY
C000693,A000698,PRIMARY
C000650,A000699,PRIMARY
C000508,A000700,PRIMARY
C000231,A000701,PRIMARY
C000165,A000702,PRIMARY
C000167,A000703,PRIMARY
C000224,A000704,PRIMARY
C000924,A000705,PRIMARY
C000404,A000706,PRIMARY
C000342,A000707,PRIMARY
C000116,A000708,PRIMARY
C000634,A000709,PRIMARY
C000317,A000710,PRIMARY
C000595,A000711,PRIMARY
C000769,A000712,PRIMARY
C000842,A000713,PRIMARY
C000752,A000714,PRIMARY
C000513,A000715,PRIMARY
C000684,A000716,PRIMARY
C000050,A000717,PRIMARY
C000768,A000718,PRIMARY
C000085,A000719,PRIMARY
C000357,A000720,PRIMARY
C000748,A000721,PRIMARY
C000859,A000722,PRIMARY
C000993,A000723,PRIMARY
C000580,A000724,PRIMARY
C000293,A000725,PRIMARY
C000203,A000726,PRIMARY
C000219,A000727,PRIMARY
C000683,A000728,PRIMARY
C000082,A000729,PRIMARY
C000082,A000730,PRIMARY
C000070,A000731,PRIMARY
C000652,A000732,PRIMARY
C000669,A000733,PRIMARY
C000918,A000734,PRIMARY
C000383,A000735,PRIMARY
C000050,A000736,PRIMARY
C000242,A000737,PRIMARY
C000882,A000738,PRIMARY
C000154,A000739,PRIMARY
C000878,A000740,PRIMARY
C000088,A000741,PRIMARY
C000575,A000742,PRIMARY
C000545,A000743,PRIMARY
C000683,A000744,PRIMARY
C000979,A000745,PRIMARY
C000282,A000746,PRIMARY
C000244,A000747,PRIMARY
C000293,A000748,PRIMARY
C000681,A000749,PRIMARY
C000878,A000750,PRIMARY
C000153,A000751,PRIMARY
C000835,A000752,PRIMARY
C000790,A000753,PRIMARY
C000451,A000754,PRIMARY
C000647,A000755,PRIMARY
C000096,A000756,PRIMARY
C000363,A000757,PRIMARY
C000852,A000758,PRIMARY
C000585,A000759,PRIMARY
C000195,A000760,PRIMARY
C000452,A000761,PRIMARY
C000396,A000762,PRIMARY
C000374,A000763,PRIMARY
C000299,A000764,PRIMARY
C000364,A000765,PRIMARY
C000676,A000766,PRIMARY
C000979,A000767,PRIMARY
C000463,A000768,PRIMARY
C000642,A000769,PRIMARY
C000422,A000770,PRIMARY
C000946,A000771,PRIMARY
C000628,A000772,PRIMARY
C000316,A000773,PRIMARY
C000312,A000774,PRIMARY
C000499,A000775,PRIMARY
C000267,A000776,PRIMARY
C000678,A000777,PRIMARY
C000191,A000778,PRIMARY
C000077,A000779,PRIMARY
C000999,A000780,PRIMARY
C000006,A000781,PRIMARY
C000230,A000782,PRIMARY
C000424,A000783,PRIMARY
C000087,A000784,PRIMARY
C000502,A000785,PRIMARY
C000371,A000786,PRIMARY
C000611,A000787,PRIMARY
C000024,A000788,PRIMARY
C000522,A000789,PRIMARY
C000739,A000790,PRIMARY
C000185,A000791,PRIMARY
C000296,A000792,PRIMARY
C000739,A000793,PRIMARY
C000406,A000794,PRIMARY
C000446,A000795,PRIMARY
C000577,A000796,PRIMARY
C000999,A000797,PRIMARY
C000227,A000798,PRIMARY
C000242,A000799,PRIMARY
C000203,A000800,PRIMARY
C000173,A000801,PRIMARY
C000569,A000802,PRIMARY
C000835,A000803,PRIMARY
C000798,A000804,PRIMARY
C000152,A000805,PRIMARY
C000772,A000806,PRIMARY
C000475,A000807,PRIMARY
C000791,A000808,PRIMARY
C000134,A000809,PRIMARY
C000114,A000810,PRIMARY
C000321,A000811,PRIMARY
C000336,A000812,PRIMARY
C000771,A000813,PRIMARY
C000888,A000814,PRIMARY
C000681,A000815,PRIMARY
C000457,A000816,PRIMARY
C000322,A000817,PRIMARY
C000143,A000818,PRIMARY
C000436,A000819,PRIMARY
C000370,A000820,PRIMARY
C000441,A000821,PRIMARY
C000024,A000822,PRIMARY
C000173,A000823,PRIMARY
C000634,A000824,PRIMARY
C000077,A000825,PRIMARY
C000122,A000826,PRIMARY
C000029,A000827,PRIMARY
C000207,A000828,PRIMARY
C000148,A000829,PRIMARY
C000219,A000830,PRIMARY
C000969,A000831,PRIMARY
C000718,A000832,PRIMARY
C000178,A000833,PRIMARY
C000777,A000834,PRIMARY
C000408,A000835,PRIMARY
C000594,A000836,PRIMARY
C000761,A000837,PRIMARY
C000805,A000838,PRIMARY
C000994,A000839,PRIMARY
C000148,A000840,PRIMARY
C000943,A000841,PRIMARY
C000258,A000842,PRIMARY
C000331,A000843,PRIMARY
C000977,A000844,PRIMARY
C000390,A000845,PRIMARY
C000287,A000846,PRIMARY
C000807,A000847,PRIMARY
C000630,A000848,PRIMARY
C000683,A000849,PRIMARY
C000403,A000850,PRIMARY
C000745,A000851,PRIMARY
C000722,A000852,PRIMARY
C000843,A000853,PRIMARY
C000650,A000854,PRIMARY
C000202,A000855,PRIMARY
C000875,A000856,PRIMARY
C000066,A000857,PRIMARY
C000663,A000858,PRIMARY
C000636,A000859,PRIMARY
C000079,A000860,PRIMARY
C000474,A000861,PRIMARY
C000349,A000862,PRIMARY
C000768,A000863,PRIMARY
C000156,A000864,PRIMARY
C000009,A000865,PRIMARY
C000774,A000866,PRIMARY
C000046,A000867,PRIMARY
C000422,A000868,PRIMARY
C000655,A000869,PRIMARY
C000634,A000870,PRIMARY
C000211,A000871,PRIMARY
C000774,A000872,PRIMARY
C000509,A000873,PRIMARY
C000135,A000874,PRIMARY
C000307,A000875,PRIMARY
C000843,A000876,PRIMARY
C000031,A000877,PRIMARY
C000184,A000878,PRIMARY
C000229,A000879,PRIMARY
C000789,A000880,PRIMARY
C000252,A000881,PRIMARY
C000860,A000882,PRIMARY
C000794,A000883,PRIMARY
C000015,A000884,PRIMARY
C000556,A000885,PRIMARY
C000810,A000886,PRIMARY
C000304,A000887,PRIMARY
C000969,A000888,PRIMARY
C000982,A000889,PRIMARY
C000777,A000890,PRIMARY
C000721,A000891,PRIMARY
C000165,A000892,PRIMARY
C000327,A000893,PRIMARY
C000369,A000894,PRIMARY
C000313,A000895,PRIMARY
C000424,A000896,PRIMARY
C000227,A000897,PRIMARY
C000407,A000898,PRIMARY
C000987,A000899,PRIMARY
C000393,A000900,PRIMARY
C000370,A000901,PRIMARY
C000714,A000902,PRIMARY
C000776,A000903,PRIMARY
C000973,A000904,PRIMARY
C000296,A000905,PRIMARY
C000860,A000906,PRIMARY
C000389,A000907,PRIMARY
C000387,A000908,PRIMARY
C000565,A000909,PRIMARY
C000737,A000910,PRIMARY
C000381,A000911,PRIMARY
C000726,A000912,PRIMARY
C000863,A000913,PRIMARY
C000963,A000914,PRIMARY
C000937,A000915,PRIMARY
C000585,A000916,PRIMARY
C000334,A000917,PRIMARY
C000643,A000918,PRIMARY
C000515,A000919,PRIMARY
C000431,A000920,PRIMARY
C000530,A000921,PRIMARY
C000459,A000922,PRIMARY
C000785,A000923,PRIMARY
C000530,A000924,PRIMARY
C000058,A000925,PRIMARY
C000621,A000926,PRIMARY
C000998,A000927,PRIMARY
C000127,A000928,PRIMARY
C000024,A000929,PRIMARY
C000046,A000930,PRIMARY
C000323,A000931,PRIMARY
