transaction_id,account_id,transaction_timestamp,transaction_type,channel_code,amount,currency_code,status
T00000044,A000642,2023-11-13 07:07:14,WITHDRAWAL,ATM,800.00,ZAR,SUCCESSFUL
T00000045,A000206,2026-01-24 18:22:56,PURCHASE,CARD,185.87,ZAR,SUCCESSFUL
T00000046,A000890,2025-07-04 22:06:47,WITHDRAWAL,ATM,2300.00,ZAR,SUCCESSFUL
T00000047,A000787,2021-05-31 23:14:10,PURCHASE,CARD,445.90,ZAR,SUCCESSFUL
T00000048,A001120,2024-07-25 02:39:14,PURCHASE,CARD,206.24,ZAR,SUCCESSFUL
T00000049,A000679,2026-04-16 22:22:12,PURCHASE,CARD,464.75,ZAR,SUCCESSFUL
T00000050,A000642,2025-07-28 16:31:43,PURCHASE,CARD,715.12,ZAR,SUCCESSFUL
T00000051,A000312,2024-10-09 05:39:00,PURCHASE,CARD,1008.62,ZAR,SUCCESSFUL
T00000052,A000355,2026-08-13 16:20:47,PURCHASE,APP,88.40,ZAR,SUCCESSFUL
T00000053,A000638,2022-05-22 10:42:14,DEPOSIT,ATM,9516.03,ZAR,SUCCESSFUL
T00000054,A000390,2024-09-22 08:51:32,TRANSFER,APP,2882.16,ZAR,SUCCESSFUL
T00000055,A000210,2023-11-03 02:57:55,DEPOSIT,APP,7758.99,ZAR,SUCCESSFUL
T00000056,A000986,2025-08-28 01:43:20,PURCHASE,APP,149.26,ZAR,SUCCESSFUL
T00000057,A000996,2026-08-11 17:26:02,WITHDRAWAL,ATM,550.00,ZAR,SUCCESSFUL
T00000058,A000341,2021-12-12 04:04:41,PURCHASE,CARD,476.45,ZAR,SUCCESSFUL
T00000059,A001092,2025-10-31 02:01:24,PURCHASE,CARD,324.96,ZAR,SUCCESSFUL
T00000060,A000390,2025-07-21 14:21:20,TRANSFER,APP,4479.13,ZAR,FAILED
T00000061,A000371,2022-12-08 05:14:33,WITHDRAWAL,ATM,1800.00,ZAR,SUCCESSFUL
T00000062,A000032,2026-08-08 06:36:41,PURCHASE,CARD,283.01,ZAR,SUCCESSFUL
T00000063,A001247,2024-11-12 08:44:56,PURCHASE,CARD,240.25,ZAR,SUCCESSFUL
T00000064,A000374,2024-06-08 02:51:39,WITHDRAWAL,ATM,2950.00,ZAR,SUCCESSFUL
T00000065,A001016,2026-03-13 05:45:21,PURCHASE,CARD,950.54,ZAR,SUCCESSFUL
T00000066,A001031,2021-11-04 19:20:33,TRANSFER,APP,11513.78,ZAR,SUCCESSFUL
T00000067,A000119,2025-02-15 04:08:54,WITHDRAWAL,ATM,1050.00,ZAR,SUCCESSFUL
T00000068,A000427,2026-04-27 16:16:21,PURCHASE,CARD,402.09,ZAR,SUCCESSFUL
T00000069,A000335,2020-08-17 23:05:16,PURCHASE,APP,822.29,ZAR,SUCCESSFUL
T00000070,A000165,2024-07-22 21:30:35,TRANSFER,APP,903.60,ZAR,SUCCESSFUL
T00000071,A000592,2025-12-23 06:53:57,PURCHASE,CARD,198.91,ZAR,SUCCESSFUL
T00000072,A000190,2026-06-25 09:31:39,WITHDRAWAL,ATM,3000.00,ZAR,SUCCESSFUL
T00000073,A000983,2025-09-11 08:23:52,DEPOSIT,ATM,1253.32,ZAR,SUCCESSFUL
T00000074,A000975,2025-06-09 03:12:01,TRANSFER,ATM,15766.97,ZAR,SUCCESSFUL
T00000075,A000862,2024-06-06 18:02:16,PURCHASE,CARD,44.85,ZAR,SUCCESSFUL
T00000076,A000788,2023-08-28 04:42:31,PURCHASE,CARD,808.69,ZAR,SUCCESSFUL
T00000077,A000432,2024-01-09 01:35:12,TRANSFER,APP,2809.65,ZAR,SUCCESSFUL
T00000078,A000153,2021-11-18 19:46:11,DEPOSIT,ATM,4028.29,ZAR,SUCCESSFUL
T00000079,A000503,2020-10-23 14:58:10,PURCHASE,CARD,738.47,ZAR,SUCCESSFUL
T00000080,A001071,2022-09-01 11:09:18,PURCHASE,APP,107.54,ZAR,SUCCESSFUL
T00000081,A001148,2025-10-06 16:53:40,PURCHASE,CARD,45.41,ZAR,SUCCESSFUL
T00000082,A000362,2024-12-20 21:47:56,PURCHASE,CARD,81.68,ZAR,SUCCESSFUL
T00000083,A000789,2023-11-01 22:27:34,PURCHASE,APP,183.76,ZAR,SUCCESSFUL
T00000084,A000006,2024-04-01 00:01:47,DEPOSIT,APP,408.69,ZAR,SUCCESSFUL
T00000085,A000736,2026-07-17 06:58:19,PURCHASE,CARD,165.02,ZAR,SUCCESSFUL
T00000086,A000477,2024-02-09 10:10:30,PURCHASE,CARD,491.06,ZAR,SUCCESSFUL
T00000087,A000361,2021-03-06 17:28:22,PURCHASE,APP,135.48,ZAR,SUCCESSFUL
T00000088,A000402,2023-07-02 12:17:08,PURCHASE,CARD,139.55,ZAR,SUCCESSFUL
T00000089,A000805,2023-07-08 00:38:39,PURCHASE,CARD,386.42,ZAR,SUCCESSFUL
T00000090,A001212,2024-09-02 09:37:09,WITHDRAWAL,ATM,2500.00,ZAR,SUCCESSFUL
T00000091,A000360,2026-06-18 02:45:18,TRANSFER,APP,9953.77,ZAR,SUCCESSFUL
T00000092,A000986,2025-08-09 04:31:02,PURCHASE,APP,183.75,ZAR,SUCCESSFUL
T00000093,A001192,2026-07-22 02:02:24,DEPOSIT,APP,9701.39,ZAR,SUCCESSFUL
T00000094,A000218,2021-05-04 17:22:29,PURCHASE,CARD,74.68,ZAR,SUCCESSFUL
T00000095,A000284,2026-06-24 07:37:14,DEPOSIT,ATM,5214.99,ZAR,SUCCESSFUL
T00000096,A000735,2025-06-03 00:07:20,WITHDRAWAL,ATM,2950.00,ZAR,SUCCESSFUL
T00000097,A001069,2026-08-01 18:36:19,TRANSFER,APP,5852.98,ZAR,SUCCESSFUL
T00000098,A000088,2026-07-07 07:24:05,DEPOSIT,ATM,3831.12,ZAR,SUCCESSFUL
T00000099,A000037,2020-08-27 00:18:09,PURCHASE,APP,168.41,ZAR,SUCCESSFUL
T00000100,A000316,2026-08-12 18:29:46,PURCHASE,APP,46.87,ZAR,SUCCESSFUL
T00000101,A000661,2024-07-16 23:24:53,PURCHASE,CARD,993.98,ZAR,SUCCESSFUL
T00000102,A000269,2026-07-03 10:28:02,TRANSFER,APP,13400.94,ZAR,SUCCESSFUL
T00000103,A000926,2023-12-07 07:10:50,PURCHASE,APP,330.85,ZAR,SUCCESSFUL
T00000104,A001081,2026-01-30 03:33:45,PURCHASE,CARD,748.04,ZAR,SUCCESSFUL
T00000105,A001028,2022-12-21 14:02:50,TRANSFER,APP,8482.88,ZAR,SUCCESSFUL
T00000106,A001129,2022-10-30 13:56:13,PURCHASE,APP,139.47,ZAR,SUCCESSFUL
T00000107,A000337,2026-02-20 13:11:31,DEPOSIT,ATM,806.93,ZAR,SUCCESSFUL
T00000108,A000694,2024-04-17 06:03:31,WITHDRAWAL,ATM,2750.00,ZAR,SUCCESSFUL
T00000109,A000996,2026-08-08 04:00:10,DEPOSIT,APP,4016.42,ZAR,SUCCESSFUL
T00000110,A000779,2025-10-12 21:48:46,PURCHASE,APP,437.51,ZAR,SUCCESSFUL
T00000111,A000104,2026-07-19 06:18:12,PURCHASE,CARD,28.16,ZAR,SUCCESSFUL
T00000112,A000074,2024-04-10 12:36:26,TRANSFER,APP,16220.94,ZAR,SUCCESSFUL
T00000113,A000776,2023-03-04 16:22:12,PURCHASE,APP,297.02,ZAR,SUCCESSFUL
T00000114,A000397,2021-03-20 15:19:05,WITHDRAWAL,ATM,1850.00,ZAR,SUCCESSFUL
T00000115,A001020,2023-07-01 21:01:35,WITHDRAWAL,ATM,1900.00,ZAR,SUCCESSFUL
T00000116,A000809,2020-08-28 23:10:07,PURCHASE,CARD,125.24,ZAR,SUCCESSFUL
T00000117,A000741,2026-01-27 07:47:59,TRANSFER,APP,2559.56,ZAR,SUCCESSFUL
T00000118,A000992,2026-02-14 07:45:05,WITHDRAWAL,ATM,1050.00,ZAR,SUCCESSFUL
T00000119,A000333,2023-04-24 12:02:46,PURCHASE,APP,35.19,ZAR,SUCCESSFUL
T00000120,A000583,2024-04-14 23:00:11,DEPOSIT,ATM,7677.38,ZAR,SUCCESSFUL
T00000121,A001189,2025-11-01 19:32:31,TRANSFER,APP,8622.39,ZAR,SUCCESSFUL
T00000122,A000747,2022-01-05 15:52:50,PURCHASE,CARD,411.90,ZAR,SUCCESSFUL
T00000123,A000690,2025-11-17 18:18:50,PURCHASE,CARD,253.12,ZAR,SUCCESSFUL
T00000124,A000359,2023-08-11 20:48:02,DEPOSIT,ATM,9480.76,ZAR,SUCCESSFUL
T00000125,A000207,2025-10-31 06:35:11,PURCHASE,CARD,184.64,ZAR,SUCCESSFUL
T00000126,A000463,2025-10-29 00:05:08,DEPOSIT,ATM,676.53,ZAR,SUCCESSFUL
T00000127,A000938,2024-03-17 09:10:05,TRANSFER,APP,1628.74,ZAR,SUCCESSFUL
T00000128,A000232,2022-05-07 07:04:45,TRANSFER,APP,1387.48,ZAR,SUCCESSFUL
T00000129,A000082,2020-06-09 18:50:08,PURCHASE,CARD,223.85,ZAR,SUCCESSFUL
T00000130,A000563,2022-07-15 09:36:12,TRANSFER,APP,16477.18,ZAR,SUCCESSFUL
T00000131,A001054,2025-12-01 09:03:33,PURCHASE,CARD,121.53,ZAR,SUCCESSFUL
T00000132,A000102,2026-05-24 16:00:27,TRANSFER,APP,12128.39,ZAR,SUCCESSFUL
T00000133,A000579,2025-03-14 19:39:05,WITHDRAWAL,ATM,2450.00,ZAR,SUCCESSFUL
T00000134,A000234,2024-07-06 18:56:38,PURCHASE,CARD,274.59,ZAR,SUCCESSFUL
T00000135,A000925,2025-07-23 20:09:33,PURCHASE,CARD,375.82,ZAR,SUCCESSFUL
T00000136,A000829,2025-02-10 14:36:24,PURCHASE,APP,127.67,ZAR,SUCCESSFUL
T00000137,A000772,2026-03-07 02:25:30,WITHDRAWAL,ATM,2650.00,ZAR,SUCCESSFUL
T00000138,A000666,2024-12-03 03:32:09,PURCHASE,CARD,273.65,ZAR,SUCCESSFUL
T00000139,A000161,2021-02-18 01:54:49,PURCHASE,CARD,345.48,ZAR,SUCCESSFUL
T00000140,A000401,2025-10-06 19:13:17,DEPOSIT,ATM,6656.94,ZAR,SUCCESSFUL
T00000141,A000019,2026-08-26 19:27:11,PURCHASE,CARD,254.38,ZAR,SUCCESSFUL
T00000142,A000306,2022-04-16 08:28:00,WITHDRAWAL,ATM,200.00,ZAR,SUCCESSFUL
T00000143,A000294,2025-06-23 05:37:02,TRANSFER,APP,7038.11,ZAR,SUCCESSFUL
T00000144,A000709,2023-12-21 07:52:50,WITHDRAWAL,ATM,1200.00,ZAR,SUCCESSFUL
T00000145,A000274,2024-07-01 11:11:38,DEPOSIT,ATM,7459.10,ZAR,SUCCESSFUL
T00000146,A000591,2025-11-28 15:38:06,PURCHASE,CARD,656.84,ZAR,SUCCESSFUL
T00000147,A000578,2024-12-28 22:06:16,DEPOSIT,APP,8319.03,ZAR,SUCCESSFUL
T00000148,A000828,2026-08-07 13:42:40,DEPOSIT,ATM,9741.32,ZAR,SUCCESSFUL
T00000149,A001248,2018-10-30 05:23:06,PURCHASE,CARD,695.19,ZAR,SUCCESSFUL
T00000150,A000586,2026-05-31 21:02:33,TRANSFER,APP,2739.63,ZAR,SUCCESSFUL
T00000151,A001177,2025-09-16 10:26:47,PURCHASE,CARD,464.71,ZAR,SUCCESSFUL
T00000152,A001025,2025-08-10 21:28:20,PURCHASE,APP,221.54,ZAR,SUCCESSFUL
T00000153,A000168,2026-04-19 16:14:06,DEPOSIT,ATM,7714.82,ZAR,SUCCESSFUL
T00000154,A000110,2023-10-20 23:22:40,PURCHASE,CARD,130.51,ZAR,SUCCESSFUL
T00000155,A000398,2020-09-20 17:12:22,DEPOSIT,ATM,202.10,ZAR,SUCCESSFUL
T00000156,A000261,2026-08-21 17:49:51,PURCHASE,CARD,468.13,ZAR,SUCCESSFUL
T00000157,A001064,2026-07-04 22:50:05,PURCHASE,CARD,155.73,ZAR,SUCCESSFUL
T00000158,A000390,2026-06-19 03:37:58,PURCHASE,CARD,458.61,ZAR,SUCCESSFUL
T00000159,A000375,2025-07-22 11:56:23,WITHDRAWAL,ATM,2600.00,ZAR,SUCCESSFUL
T00000160,A001213,2022-12-19 22:41:34,DEPOSIT,ATM,4853.01,ZAR,SUCCESSFUL
T00000161,A001214,2026-08-28 00:47:42,DEPOSIT,APP,3370.09,ZAR,SUCCESSFUL
T00000162,A001024,2024-09-07 11:25:26,PURCHASE,CARD,248.63,ZAR,SUCCESSFUL
T00000163,A000164,2022-09-17 20:15:55,PURCHASE,CARD,743.61,ZAR,SUCCESSFUL
T00000164,A000537,2026-08-30 13:50:39,WITHDRAWAL,ATM,600.00,ZAR,SUCCESSFUL
T00000165,A000665,2025-08-18 02:00:26,WITHDRAWAL,ATM,2300.00,ZAR,SUCCESSFUL
T00000166,A000761,2024-05-03 00:19:58,PURCHASE,APP,154.56,ZAR,SUCCESSFUL
T00000167,A000453,2026-03-28 23:00:17,PURCHASE,CARD,2757.52,ZAR,SUCCESSFUL
T00000168,A000639,2022-09-01 04:00:24,DEPOSIT,ATM,5199.86,ZAR,SUCCESSFUL
T00000169,A000946,2025-08-11 18:00:31,TRANSFER,APP,15649.07,ZAR,SUCCESSFUL
T00000170,A000902,2025-10-24 01:54:52,WITHDRAWAL,ATM,2850.00,ZAR,SUCCESSFUL
T00000171,A000501,2019-06-23 16:01:08,PURCHASE,CARD,242.10,ZAR,SUCCESSFUL
T00000172,A001242,2025-05-16 05:21:52,PURCHASE,CARD,399.46,ZAR,SUCCESSFUL
T00000173,A000509,2022-09-04 04:10:13,TRANSFER,APP,13856.74,ZAR,SUCCESSFUL
T00000174,A000009,2026-06-27 04:08:01,PURCHASE,CARD,358.19,ZAR,SUCCESSFUL
T00000175,A000047,2022-12-05 15:58:04,WITHDRAWAL,ATM,2650.00,ZAR,SUCCESSFUL
T00000176,A000402,2023-07-15 02:26:11,WITHDRAWAL,ATM,1050.00,ZAR,SUCCESSFUL
T00000177,A000759,2026-06-16 06:29:21,DEPOSIT,APP,2903.00,ZAR,SUCCESSFUL
T00000178,A000914,2025-08-30 17:42:38,WITHDRAWAL,ATM,1600.00,ZAR,SUCCESSFUL
T00000179,A000906,2025-01-20 11:43:36,PURCHASE,CARD,292.10,ZAR,SUCCESSFUL
T00000180,A000201,2026-01-22 12:07:37,WITHDRAWAL,ATM,850.00,ZAR,SUCCESSFUL
T00000181,A000161,2021-08-25 23:57:49,DEPOSIT,APP,4489.91,ZAR,SUCCESSFUL
T00000182,A000219,2021-10-01 17:38:38,PURCHASE,CARD,375.59,ZAR,SUCCESSFUL
T00000183,A000799,2024-03-02 23:33:45,PURCHASE,CARD,655.76,ZAR,SUCCESSFUL
T00000184,A000627,2026-06-07 20:48:09,PURCHASE,CARD,134.87,ZAR,SUCCESSFUL
T00000185,A000753,2022-07-17 17:49:45,DEPOSIT,ATM,6960.47,ZAR,SUCCESSFUL
T00000186,A000819,2021-11-13 05:52:44,TRANSFER,APP,6737.45,ZAR,SUCCESSFUL
T00000187,A000526,2019-06-28 18:02:11,WITHDRAWAL,ATM,1250.00,ZAR,SUCCESSFUL
T00000188,A001081,2026-06-03 17:41:40,PURCHASE,APP,99.93,ZAR,SUCCESSFUL
T00000189,A001015,2024-11-24 02:06:29,PURCHASE,APP,309.91,ZAR,SUCCESSFUL
T00000190,A000089,2026-02-19 22:16:39,WITHDRAWAL,ATM,600.00,ZAR,SUCCESSFUL
T00000191,A000565,2018-11-12 07:16:39,PURCHASE,CARD,96.46,ZAR,SUCCESSFUL
T00000192,A000622,2025-09-30 06:17:12,TRANSFER,APP,4395.41,ZAR,SUCCESSFUL
T00000193,A000438,2026-06-15 18:44:06,PURCHASE,APP,105.99,ZAR,SUCCESSFUL
T00000194,A000132,2020-10-23 07:39:23,PURCHASE,CARD,103.92,ZAR,SUCCESSFUL
T00000195,A000781,2026-04-29 15:38:12,DEPOSIT,APP,8750.44,ZAR,SUCCESSFUL
T00000196,A001094,2022-12-26 07:52:30,WITHDRAWAL,ATM,2700.00,ZAR,SUCCESSFUL
T00000197,A000001,2025-02-10 01:23:18,WITHDRAWAL,ATM,2300.00,ZAR,SUCCESSFUL
T00000198,A000181,2026-04-23 16:43:43,DEPOSIT,ATM,2202.41,ZAR,SUCCESSFUL
T00000199,A000767,2023-07-26 03:33:33,PURCHASE,CARD,123.23,ZAR,SUCCESSFUL
T00000200,A001201,2022-01-02 23:59:55,PURCHASE,CARD,848.85,ZAR,FAILED
T00000201,A000680,2025-03-17 05:36:31,PURCHASE,APP,746.64,ZAR,SUCCESSFUL
T00000202,A000815,2022-06-05 05:15:14,PURCHASE,CARD,604.99,ZAR,SUCCESSFUL
T00000203,A000879,2021-09-05 02:14:46,WITHDRAWAL,ATM,2600.00,ZAR,SUCCESSFUL
T00000204,A001096,2026-08-20 16:16:37,PURCHASE,CARD,314.33,ZAR,SUCCESSFUL
T00000205,A001077,2025-08-09 10:06:58,PURCHASE,CARD,68.17,ZAR,SUCCESSFUL
T00000206,A000731,2024-08-23 17:19:15,WITHDRAWAL,ATM,400.00,ZAR,SUCCESSFUL
T00000207,A000788,2022-12-19 14:29:31,PURCHASE,CARD,159.61,ZAR,SUCCESSFUL
T00000208,A000758,2021-10-26 20:12:10,PURCHASE,CARD,772.01,ZAR,SUCCESSFUL
T00000209,A000453,2024-12-05 04:19:16,PURCHASE,CARD,907.30,ZAR,SUCCESSFUL
T00000210,A000719,2026-03-01 07:52:59,PURCHASE,CARD,300.90,ZAR,SUCCESSFUL
T00000211,A001161,2025-09-13 13:43:00,PURCHASE,APP,197.24,ZAR,SUCCESSFUL
T00000212,A000902,2023-05-31 08:46:18,PURCHASE,CARD,105.53,ZAR,SUCCESSFUL
T00000213,A000985,2026-06-15 21:58:05,PURCHASE,CARD,252.91,ZAR,SUCCESSFUL
T00000214,A000273,2023-11-16 02:21:56,DEPOSIT,APP,6561.84,ZAR,SUCCESSFUL
T00000215,A000117,2025-10-17 19:34:22,PURCHASE,CARD,82.51,ZAR,SUCCESSFUL
T00000216,A000482,2023-05-02 07:38:20,WITHDRAWAL,ATM,1350.00,ZAR,SUCCESSFUL
T00000217,A000209,2025-05-15 21:33:28,WITHDRAWAL,ATM,950.00,ZAR,SUCCESSFUL
T00000218,A000808,2025-10-03 21:00:31,PURCHASE,APP,1168.25,ZAR,SUCCESSFUL
T00000219,A000639,2022-05-21 23:23:15,WITHDRAWAL,ATM,2350.00,ZAR,SUCCESSFUL
T00000220,A000870,2025-04-02 23:21:05,PURCHASE,CARD,81.78,ZAR,FAILED
T00000221,A001199,2019-02-04 12:28:29,WITHDRAWAL,ATM,2100.00,ZAR,SUCCESSFUL
T00000222,A000119,2026-08-22 04:54:49,PURCHASE,CARD,393.98,ZAR,SUCCESSFUL
T00000223,A000751,2026-04-20 07:42:03,PURCHASE,APP,343.61,ZAR,SUCCESSFUL
T00000224,A001148,2023-10-03 09:32:50,WITHDRAWAL,ATM,400.00,ZAR,SUCCESSFUL
T00000225,A000027,2026-08-14 10:13:02,PURCHASE,CARD,96.78,ZAR,SUCCESSFUL
T00000226,A000342,2021-06-18 13:27:36,PURCHASE,CARD,45.22,ZAR,SUCCESSFUL
T00000227,A001250,2025-01-23 03:32:26,DEPOSIT,APP,6896.04,ZAR,SUCCESSFUL
T00000228,A000327,2024-05-29 14:29:55,PURCHASE,CARD,860.20,ZAR,SUCCESSFUL
T00000229,A000499,2023-03-31 06:20:10,PURCHASE,CARD,167.90,ZAR,SUCCESSFUL
T00000230,A000170,2026-02-18 01:15:59,DEPOSIT,ATM,7595.29,ZAR,SUCCESSFUL
T00000231,A000468,2025-11-12 00:59:35,WITHDRAWAL,ATM,1900.00,ZAR,SUCCESSFUL
T00000232,A001038,2024-02-25 12:19:29,WITHDRAWAL,ATM,1550.00,ZAR,SUCCESSFUL
T00000233,A000321,2021-06-28 14:29:37,PURCHASE,APP,226.92,ZAR,SUCCESSFUL
T00000234,A000503,2023-10-12 15:46:50,PURCHASE,CARD,199.59,ZAR,FAILED
T00000235,A001068,2023-08-03 05:09:37,PURCHASE,CARD,564.42,ZAR,SUCCESSFUL
T00000236,A000425,2026-05-26 16:45:21,PURCHASE,CARD,98.16,ZAR,SUCCESSFUL
T00000237,A000482,2024-03-17 10:08:52,PURCHASE,APP,215.31,ZAR,SUCCESSFUL
T00000238,A000867,2026-01-09 10:32:10,PURCHASE,CARD,383.35,ZAR,SUCCESSFUL
T00000239,A000384,2026-07-12 14:39:46,DEPOSIT,APP,9047.17,ZAR,SUCCESSFUL
T00000240,A000025,2025-02-14 12:46:34,TRANSFER,APP,6955.97,ZAR,SUCCESSFUL
T00000241,A000473,2025-10-25 21:06:02,PURCHASE,CARD,38.35,ZAR,SUCCESSFUL
T00000242,A000662,2025-01-03 14:52:13,TRANSFER,APP,15346.52,ZAR,SUCCESSFUL
T00000243,A000669,2025-12-17 02:17:24,PURCHASE,APP,607.00,ZAR,SUCCESSFUL
T00000244,A000119,2025-05-11 16:00:31,PURCHASE,CARD,454.31,ZAR,SUCCESSFUL
T00000245,A000140,2026-01-20 19:13:31,PURCHASE,APP,354.09,ZAR,SUCCESSFUL
T00000246,A000319,2025-02-17 23:43:13,TRANSFER,APP,6656.51,ZAR,FAILED
T00000247,A000615,2026-01-05 09:01:01,PURCHASE,CARD,78.37,ZAR,SUCCESSFUL
T00000248,A000391,2021-05-04 08:52:02,PURCHASE,CARD,683.17,ZAR,FAILED
T00000249,A001084,2026-06-11 22:29:57,PURCHASE,APP,180.43,ZAR,SUCCESSFUL
T00000250,A000644,2026-01-24 16:01:03,TRANSFER,APP,19536.81,ZAR,SUCCESSFUL
T00000251,A000008,2025-09-07 15:38:32,PURCHASE,CARD,234.46,ZAR,SUCCESSFUL
T00000252,A000314,2021-07-15 01:40:45,PURCHASE,CARD,288.36,ZAR,SUCCESSFUL
T00000253,A000426,2024-12-17 19:59:32,PURCHASE,CARD,289.32,ZAR,SUCCESSFUL
T00000254,A000494,2022-06-17 05:23:19,PURCHASE,CARD,606.10,ZAR,SUCCESSFUL
T00000255,A000159,2025-07-17 09:53:34,TRANSFER,APP,19055.12,ZAR,SUCCESSFUL
T00000256,A001103,2019-09-10 02:12:31,WITHDRAWAL,ATM,2000.00,ZAR,SUCCESSFUL
T00000257,A000271,2020-02-15 07:45:26,PURCHASE,APP,675.29,ZAR,SUCCESSFUL
T00000258,A000025,2025-10-13 23:11:58,WITHDRAWAL,ATM,2200.00,ZAR,SUCCESSFUL
T00000259,A000616,2025-08-25 20:13:28,PURCHASE,CARD,685.18,ZAR,SUCCESSFUL
T00000260,A000436,2026-08-11 20:33:46,PURCHASE,CARD,195.00,ZAR,SUCCESSFUL
T00000261,A001209,2026-08-18 10:02:42,DEPOSIT,ATM,4916.60,ZAR,SUCCESSFUL
T00000262,A001244,2025-11-15 09:41:40,PURCHASE,APP,690.95,ZAR,SUCCESSFUL
T00000263,A000624,2026-05-25 06:54:03,TRANSFER,APP,10543.31,ZAR,SUCCESSFUL
T00000264,A000109,2024-03-28 15:02:25,PURCHASE,CARD,761.29,ZAR,SUCCESSFUL
